solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l1,False,0.596,90.331,True,1.904,98,ovr,0.38490114597266045,,2019,0,True,,0.093
sag,l2,False,0.898,31.49,False,3.688,104,auto,0.5756510141648885,,2019,0,True,,-0.125
sag,l2,False,0.898,31.49,False,3.688,104,auto,0.290329502402758,,2019,0,True,,-0.125
sag,none,False,0.035,43.15,False,1.009,99,ovr,0.18939132855435614,,2019,0,False,,0.083
sag,none,False,0.465,34.516,False,0.162,101,multinomial,,,2019,0,True,,-0.015
sag,none,False,0.449,89.289,True,3.48,97,auto,0.6127731798686067,,2019,0,False,,-0.154
sag,l2,False,0.898,31.49,False,3.688,104,auto,0.47653099200938076,,2019,0,False,,-0.125
newton-cg,none,False,0.747,89.041,False,9.441,95,auto,,,2019,0,True,,0.084
newton-cg,l2,False,0.921,74.091,True,1.779,105,auto,0.7576039219664368,,2019,0,False,,0.044
liblinear,l2,True,0.861,91.314,True,4.099,100,ovr,0.9233810159462806,,2019,0,False,,0.1
newton-cg,l2,False,0.844,76.352,True,3.032,104,multinomial,0.8424602231401824,,2019,0,True,,0.044
newton-cg,l2,False,0.942,0.198,False,2.763,103,ovr,0.898173121357879,,2019,0,False,,0.084
lbfgs,l2,False,0.182,62.85,False,3.232,102,auto,0.3912960502346249,,2019,0,False,,0.084
newton-cg,l2,False,0.495,57.578,True,3.549,97,auto,0.7052833998544062,,2019,0,False,,0.044
saga,elasticnet,False,0.282,29.027,True,1.685,96,auto,0.27563412131212717,,2019,0,True,,0.104
sag,l2,False,0.898,31.49,False,3.588,104,auto,0.8116287085078785,,2019,0,False,,-0.125
liblinear,l1,False,0.571,76.473,True,7.717,98,ovr,,,2019,0,True,,0.093
liblinear,l2,True,0.861,91.314,True,4.099,100,ovr,0.8494859651863671,,2019,0,False,,0.1
saga,l1,False,0.583,32.596,True,3.94,99,ovr,0.8950389674266752,,2019,0,False,,0.104
liblinear,l2,True,0.861,91.314,False,4.099,100,ovr,0.5898011835311598,,2019,0,False,,0.11
sag,l2,False,0.741,99.491,False,6.085,102,ovr,,,2019,0,False,,-0.125
lbfgs,l2,False,0.825,74.53,False,5.923,95,ovr,,,2019,0,True,,0.084
liblinear,l1,False,0.476,26.565,False,6.653,103,ovr,,,2019,0,True,,0.121
sag,l2,False,0.898,31.49,False,3.588,104,auto,0.5796950107456059,,2019,0,False,,-0.125
liblinear,l1,False,0.596,90.331,True,1.904,98,ovr,0.4505631066311552,,2019,0,True,,0.093
saga,none,False,0.224,59.07,True,6.348,98,multinomial,,,2019,0,False,,0.119
saga,elasticnet,False,0.133,61.121,True,5.068,98,multinomial,0.660245378622389,,2019,0,False,,0.058
liblinear,l2,False,0.754,76.469,True,8.663,101,ovr,,,2019,0,True,,0.147
liblinear,l1,False,0.596,90.331,True,1.904,98,ovr,0.9169412179474561,,2019,0,True,,0.093
liblinear,l1,False,0.596,90.331,True,1.904,98,ovr,0.7933250841302242,,2019,0,True,,0.093
liblinear,l2,True,0.861,17.816180445740198,False,4.099,100,ovr,0.0823729881966474,,2019,0,False,,0.107
liblinear,l1,False,0.676,65.29186593291381,False,1.721,102,ovr,,,2019,0,False,,0.121
saga,elasticnet,False,0.282,29.027,True,1.685,96,auto,0.6127831050407122,,2019,0,True,,0.104
liblinear,l1,False,0.596,90.331,True,2.004,98,ovr,0.4864442019691668,,2019,0,True,,0.093
newton-cg,l2,False,0.596,90.331,True,2.004,98,ovr,0.6301473404114728,,2019,0,True,,0.044
liblinear,l2,True,0.861,17.816180445740198,False,4.099,101,ovr,0.24303562206185625,,2019,0,False,,-0.018
liblinear,l2,True,0.861,17.816180445740198,False,4.099,101,ovr,0.7314892207908478,,2019,0,False,,-0.018
liblinear,l1,False,0.858,80.178,False,7.515,100,auto,,,2019,0,False,,0.121
liblinear,l2,True,0.861,17.816180445740198,False,3.999,101,ovr,0.11713429320851798,,2019,0,False,,-0.018
newton-cg,l2,False,0.596,90.331,True,2.004,98,multinomial,0.22046053686782852,,2019,0,True,,0.044
newton-cg,l2,False,0.596,90.331,True,2.004,98,multinomial,0.33253614921965546,,2019,0,True,,0.044
newton-cg,l2,False,0.0001,3.7900987096316987,False,4.197228368797344,100,multinomial,,,2019,0,True,,0.084
sag,none,False,0.49849162452910994,89.289,True,3.48,97,auto,0.1006075202160962,,2019,0,False,,-0.154
sag,l2,False,0.441,37.886,True,4.642,102,multinomial,0.14635848891230385,,2019,0,True,,0.012
liblinear,l2,True,0.861,17.816180445740198,False,3.999,101,ovr,0.04523406786561235,,2019,0,False,,-0.018
sag,l2,False,0.677,54.699,False,0.575,103,auto,0.5738660367891669,,2019,0,False,,-0.125
sag,l2,False,0.898,31.49,False,3.588,104,auto,0.534197968260724,,2019,0,False,,-0.125
sag,none,False,0.441,37.886,True,4.642,102,multinomial,0.6805891325622565,,2019,0,True,,0.013
lbfgs,l2,False,0.596,90.331,True,2.004,98,multinomial,0.6063384177542189,,2019,0,True,,0.044
liblinear,l2,True,0.861,17.816180445740198,False,3.999,101,ovr,0.5759529480315407,,2019,0,False,,-0.018
sag,l2,False,0.546,82.616,True,7.232,97,auto,,,2019,0,False,,-0.119
saga,none,False,0.595,69.441,False,9.313,96,multinomial,0.3912094093228269,,2019,0,True,,0.121
liblinear,l2,True,0.9996656429695648,27.374,True,2.282,105,ovr,,,2019,0,False,,0.13
saga,l1,False,0.645,88.421,True,8.783,97,auto,,,2019,0,True,,0.104
liblinear,l2,True,0.861,17.816180445740198,False,3.899,101,ovr,0.3701399403351875,,2019,0,False,,-0.018
liblinear,l2,True,0.861,17.816180445740198,False,3.899,101,ovr,0.9805166506472687,,2019,0,False,,-0.018
saga,none,False,0.224,59.07,True,6.348,98,ovr,,,2019,0,False,,0.104
saga,l1,False,0.439,87.218330997712,False,0.208,105,auto,,,2019,0,False,,0.105
liblinear,l1,False,0.596,90.331,True,2.004,98,ovr,0.036392037611485795,,2019,0,True,,0.093
saga,none,False,0.224,59.07,True,6.348,100,ovr,,,2019,0,False,,0.104
sag,l2,False,0.898,31.49,True,3.588,104,auto,0.021636509855024078,,2019,0,False,,-0.119
saga,none,False,0.595,69.441,False,9.313,96,auto,0.9610312802396112,,2019,0,True,,0.105
saga,elasticnet,False,0.282,29.027,True,1.685,96,auto,0.18497194139743833,,2019,0,True,,0.104
newton-cg,none,False,0.4060246852784767,43.938,False,1.392,98,multinomial,0.12389516442443171,,2019,0,False,,0.084
sag,l2,False,0.676,65.29186593291381,False,1.721,102,multinomial,,,2019,0,False,,-0.015
saga,elasticnet,False,0.355,61.572,False,8.926,100,auto,0.9369691586445807,,2019,0,False,,0.105
saga,none,False,0.595,69.441,False,9.313,97,auto,0.022782575668658378,,2019,0,True,,0.105
sag,l2,False,0.736,84.918,True,0.979,95,ovr,0.42561883196681716,,2019,0,False,,-0.119
sag,none,False,0.677,54.699,False,0.575,103,multinomial,0.10150021937416975,,2019,0,False,,-0.015
sag,l2,False,0.677,54.699,True,0.575,103,multinomial,0.22082927131631735,,2019,0,False,,0.012
saga,l2,False,0.645,88.421,True,8.783,97,auto,,,2019,0,True,,0.104
sag,none,False,0.676,65.29186593291381,False,1.721,102,multinomial,,,2019,0,False,,-0.015
sag,none,False,0.676,66.292,False,1.721,102,multinomial,,,2019,0,False,,-0.015
