"","sexrace","sexp","sexd","race0","age0","prace","page","pj","py","p0","jrace","j0","dp","dy","d0","yrace","yage","yj","y0","lp__"
"1",-0.286550918646808,0.393206215735296,-0.0947553599354996,-0.134612384898679,-0.378144884523491,-0.0560452316977045,-0.0728420725041612,0.100964695604892,0.0707109213053181,1.83832667044835,-0.484791037545236,-4.03737814869451,-0.121266703917689,-1.642523877602,2.16487004533264,-0.1697652608044,0.295555158099295,1.07986563114372,13.6177213356234,56875.6056200943
"2",-0.190366596299712,0.411843683786652,-0.0540030185050146,-0.249034890352947,-0.359537625030486,-0.0512208187139305,-0.0707130100507272,0.101607797352781,0.0526432795413442,1.83333946614211,-0.246713167785072,-3.83303431834283,-0.122692161393534,-1.66084134333288,2.12932530612217,-0.209921406054077,0.264492813892504,0.979875481676997,13.8158035539564,56876.5130521282
"3",-0.196797173267022,0.414372714443631,-0.0589252781625948,-0.24226725103418,-0.352052053961247,-0.0521245053019856,-0.0667478160030699,0.101696414988328,0.0580289806345769,1.83136201722795,-0.23670400610254,-3.80399056016337,-0.124039722913745,-1.65067018412161,2.13358542110854,-0.198818091744708,0.272194433367419,0.961188605263057,13.7041338163783,56875.2860125487
"4",-0.209317471403873,0.43102966918517,-0.0660501306325981,-0.209778844077518,-0.370618731065382,-0.0505232639584765,-0.0761606588126042,0.105690812111056,0.0631845026375401,1.79748781104613,-0.594559156016698,-3.92584401414723,-0.121909155716011,-1.64660669601099,2.13681194786881,-0.182269745517289,0.255376038994855,0.982951076165476,13.6384612287823,56874.4637630386
"5",-0.181443583149511,0.454185670222583,-0.0669975540547339,-0.226221777865145,-0.372728296393959,-0.0593579341977354,-0.0673416205743466,0.105525311084854,0.0626950474597841,1.79437741847703,-0.454628757384403,-3.88720556998707,-0.1234876541275,-1.64870410140934,2.1300295155182,-0.200483628671339,0.296062849416977,0.930620515652372,13.7263158522335,56872.2653347547
"6",-0.290675053001257,0.397495458636534,-0.0761545110715931,-0.170051196739772,-0.340200911439272,-0.0521027439760873,-0.0737835422776457,0.0978969145005347,0.0719093681979855,1.83372002980171,-0.266587270473723,-3.73828274930316,-0.121086633491307,-1.58074961905814,2.13893158208947,-0.188893284230409,0.265017085616442,0.862037422913141,13.0516990166751,56874.1887564053
"7",-0.25902149990335,0.406494517220872,-0.0614697098929379,-0.104140311031648,-0.361026956067417,-0.0637531277623331,-0.0744362067951526,0.0992041528763455,0.0493396059138538,1.85370420941214,-0.285829178299073,-3.96650533080446,-0.126059662568913,-1.57620980070494,2.12592670892805,-0.270667779701581,0.237276604699254,1.09141366073563,13.1277380484501,56867.1027797023
"8",-0.200694744376754,0.380032345498485,-0.054117484144925,-0.186058687042742,-0.349879692735793,-0.0658580128109875,-0.0681285988621387,0.09867512946334,0.0553114881682005,1.8730260627939,-0.419178394144994,-3.9342708802074,-0.123552424835656,-1.59969229553331,2.13813859110053,-0.226355244695335,0.290277166450269,1.06417421248301,13.3032689936322,56868.7561254582
"9",-0.231164969435371,0.43312224406254,-0.0731954145077942,-0.227424658232928,-0.352320148029284,-0.0398844872429599,-0.0668584438760917,0.10360742428947,0.0720522572688377,1.81287409953486,-0.307239733851627,-3.97357437847504,-0.122234969541972,-1.69154577691942,2.13887203630143,-0.198120298575237,0.279322234116722,1.00101983532108,14.0362854373058,56871.759731209
"10",-0.226128491136312,0.410596419471774,-0.0589897493665449,-0.160497705073437,-0.358871594757183,-0.0669231658206362,-0.074631595010837,0.101240716819816,0.0634115841521119,1.82318392268817,-0.644439049042009,-4.06285997232653,-0.122356859405213,-1.63162613669504,2.12600193843913,-0.095975613433848,0.275441797707323,1.14264472504742,13.5333402459463,56869.4266134124
"11",-0.354282308578173,0.399749486797533,-0.0774317223680058,-0.118724254044054,-0.379578266272799,-0.0383338722416765,-0.0691403386515994,0.100176660888442,0.0686746563692783,1.84760268175394,-0.263071440569643,-3.7622410948382,-0.123803069388596,-1.6025932055834,2.14709362986205,-0.215631558567881,0.265270674283869,0.846405812497226,13.2843411612116,56873.7978709434
"12",-0.396972245927309,0.39026599405306,-0.0590900318587061,-0.0161508634842884,-0.344331247397409,-0.0644504443629281,-0.0753710471234569,0.0908542020934755,0.0584097106677722,1.8476976845514,-0.459934702645069,-3.74575845574853,-0.122988101037943,-1.61708748913666,2.12586517608556,-0.199052534003618,0.29156257394634,0.976307831494885,13.4179748568161,56867.8191601591
"13",-0.407372746837572,0.392244402901682,-0.0572491212614357,-0.029736625926716,-0.348929334714241,-0.0657137982075949,-0.0759720116469768,0.0909971315926803,0.0592637977049956,1.84560312844785,-0.460719680380642,-3.74034120593341,-0.122773118293586,-1.61555761197993,2.13217974712071,-0.190631007597555,0.286709004993091,0.996018183111585,13.4337565856416,56869.5396084006
"14",-0.282443611867439,0.399468017462316,-0.0811572325379419,-0.250355418166602,-0.385257466824064,-0.0425399298462883,-0.0677309994731891,0.108985613410921,0.0863461836331724,1.85289106779031,-0.330271944036548,-3.87490881448246,-0.124743156991768,-1.6273126008444,2.15243304423052,-0.138779244755914,0.276738928503214,0.90723511437215,13.4141441880355,56872.6268476618
"15",-0.273324338020167,0.374961119953848,-0.0722755859798846,-0.220452238018611,-0.365450306172442,-0.0463692856617983,-0.0724615645671423,0.0964721560462398,0.0674042349601988,1.8736452037741,-0.45911653051408,-3.97970839916998,-0.122728481641479,-1.66744265803862,2.14313007342103,-0.174494357117924,0.289471440275823,1.03848425882898,13.8431805614123,56874.1184371079
"16",-0.229857533345716,0.384399745818754,-0.0786964184220719,-0.230878506659583,-0.358710038945783,-0.0605406812945063,-0.0745675673473263,0.11052266688568,0.0718338578256121,1.87421017066278,-0.476765584232468,-4.00549570823772,-0.126230673967661,-1.69424802735915,2.15386633301969,-0.138790209874375,0.27053109257123,1.0542747507174,14.0561493762306,56873.0981134348
"17",-0.223574615541219,0.410511714348218,-0.0769184629504553,-0.205266644954362,-0.361995596220137,-0.0461992182567538,-0.071724372038811,0.0953311496685206,0.062664672649472,1.82810636843272,-0.282800233363088,-3.62002616114885,-0.122478677779763,-1.65561538584289,2.14510752653751,-0.23488157657955,0.260466109242719,0.797157893459769,13.772615281165,56875.3647938224
