"","sexrace","sexp","sexd","race0","age0","prace","page","pj","py","p0","jrace","jy","j0","dp","dy","d0","yrace","yage","y0","lp__"
"1",-0.292533267250145,0.413893873467549,-0.0545092586263027,-0.178701349166097,-0.372303337316371,-0.0510977063195766,-0.0716998287304891,0.11682269574623,0.0571384804959756,1.82220540740661,-0.456492317213444,-0.00768168171606799,-3.45472889135354,-0.122590314180069,-1.70483504039953,2.13150037466813,-0.107685033421778,0.239270263684558,14.2299987969725,56828.9850684487
"2",-0.199522312740458,0.420849663676093,-0.0895978752054389,-0.231173331846837,-0.375436780909219,-0.0538431669281414,-0.0786345016626262,0.10951356783161,0.0646923574320886,1.81650891510022,-0.295541637560859,0.236132505694912,-3.33846646830695,-0.121166318687097,-1.59885217834571,2.15634896016886,-0.285044784527888,0.292919559843976,13.1403111164411,56826.393873847
"3",-0.116894700400693,0.420553273723141,-0.0841843200451346,-0.264571594513123,-0.355962238162106,-0.0498492221129569,-0.0690981935079172,0.117203234252346,0.0694588487587078,1.83026993931885,-0.222746686385762,0.251268007028826,-3.3283096263704,-0.123566093205818,-1.57377734012917,2.15733704927048,-0.282033943847714,0.27785421759188,12.924656709028,56826.6711181871
"4",-0.360164521949131,0.411678970044229,-0.0563244891893987,-0.142565951371334,-0.379883190675996,-0.05474952236821,-0.0724553241431682,0.114510236573384,0.0669351336707329,1.83563088499494,-0.547114539007767,0.0208970809900117,-3.40816762860083,-0.123635663017749,-1.7213573523781,2.13740209391684,-0.0682365571580111,0.27394411327185,14.217799686112,56825.7528637087
"5",-0.171801237616906,0.420534457812975,-0.0867870318263616,-0.259906355157809,-0.352282863815579,-0.0468715976170635,-0.0708061899980742,0.11383628597884,0.0713314113272731,1.82818916693661,-0.561639188166628,0.189775823637768,-3.24546924174296,-0.12337225082415,-1.57182665799935,2.15237701133242,-0.231099104362894,0.270348246322233,12.9320097551755,56828.4802360678
"6",-0.30203160150003,0.41181102199076,-0.0659067005853487,-0.135204589570344,-0.357879367613893,-0.0545063654078905,-0.0697962200118149,0.123229621067322,0.078447707234194,1.83751256469686,-0.301398637525982,0.0239075669940427,-3.55340793581454,-0.123927617210358,-1.72480765337643,2.14177573140334,-0.25899085932688,0.273326479379733,14.2996646378252,56827.4658864622
"7",-0.319311631094677,0.40863670664188,-0.0701910748839673,-0.152772462753633,-0.364380825540487,-0.0503554164966848,-0.0737159626614271,0.128725869128937,0.0563236410155604,1.85262823366075,-0.47446748923838,-0.18281573063171,-3.51307142362613,-0.125954645841269,-1.69358221081283,2.13925108679341,-0.134894457314216,0.26362243705358,14.1403433912432,56825.7700796377
"8",-0.281906738018744,0.398001913533397,-0.0601494905029577,-0.146711511854151,-0.34094384540397,-0.0550385115889951,-0.0767608718829757,0.127971423789491,0.0579164297125862,1.85887776409448,-0.507087353168937,-0.127199411001154,-3.48654567791107,-0.125428204078751,-1.68135973081135,2.14112325273913,-0.145766243901474,0.28687641500438,13.9965150735421,56826.712326938
"9",-0.265808120840458,0.396066725008002,-0.0716431487408034,-0.17951816901891,-0.353134740914033,-0.0530898665083355,-0.0677473032295542,0.107776458038938,0.0689814974349127,1.83469694110721,-0.257481588767389,0.217238979018716,-3.22382981936801,-0.122051507137956,-1.64915218666222,2.14914820874191,-0.198368041728315,0.219361195809152,13.6624636208459,56832.0152266731
"10",-0.156101773144613,0.451817885895905,-0.0848665828270765,-0.279653320320173,-0.370209176406595,-0.0558567463108508,-0.0759583284069544,0.124680001749421,0.0493380094694871,1.81518208503897,-0.472343226426815,0.200894907784622,-3.48996157609201,-0.125697464555332,-1.62315385384642,2.15861718289158,-0.148408677380074,0.301037705558126,13.5100057432783,56829.4353509486
"11",-0.230955683606167,0.409002977598861,-0.0710359213277083,-0.196110826508401,-0.337481292938466,-0.0545964019402288,-0.0687554275409011,0.119603741600327,0.0568252589580198,1.79919145220816,-0.306366790904503,0.222338274872032,-3.44162248165739,-0.117807317520891,-1.64232173575899,2.14577279479813,-0.206049416551944,0.246718545929566,13.6065567278018,56832.8547999411
"12",-0.197719180743315,0.439632065236052,-0.0899541397507743,-0.260141944451308,-0.353141358952673,-0.0523551081404674,-0.0746560665355652,0.113271460621265,0.0612986877032038,1.81003020072176,-0.485741969145023,0.135741917590902,-3.32881693293011,-0.124379453303816,-1.65116220092343,2.15898571108043,-0.205167850841096,0.236921841801149,13.6639476251646,56832.1975392531
"13",-0.355542508598165,0.40149510704728,-0.0602816713469349,-0.148207028125815,-0.376476342125138,-0.0511084122880097,-0.0675623177727292,0.120843997039544,0.0599648256664762,1.86237556597996,-0.381178933384795,0.06054558734633,-3.45721181723483,-0.126458090355546,-1.65426258758085,2.13399779767576,-0.161314124901912,0.303139662980396,13.7740993188387,56831.8046721766
"14",-0.312338221800658,0.416074114579197,-0.0440619185450573,-0.104888678036731,-0.374068389136358,-0.059188299288361,-0.0690924875674594,0.125185625701211,0.0628423353933896,1.84603386395076,-0.355185261157669,-0.141167417473375,-3.50071699704992,-0.125212578082291,-1.65226865432149,2.12501756082621,-0.152480700426689,0.276328565355901,13.7396666269055,56826.4731171771
"15",-0.358002616981869,0.425630084373113,-0.0541947484897982,-0.0913618762821726,-0.357483367358873,-0.0432994669616483,-0.0789462908162059,0.111218902567008,0.0757698068529769,1.79411664042575,-0.620922528290049,0.131979012128949,-3.36197064176522,-0.120678883635594,-1.69957244501646,2.13396097026921,-0.21663489726407,0.292005346888319,14.0060275266416,56823.5628076918
