"","sexrace","sexp","sexj","sex0","racej","race0","agerace","agep","agej","age0","prace","pj","p0","j0","dsex","dp","dj","dy","ysex","yrace","yage","yp","yj","y0","lp__"
"1",-0.188684143013226,0.391582385709258,1.073646686896,1.57962814452793,-0.7974644442261,-0.155414338511251,-0.119439976032098,-0.37158882710863,0.248288999844178,-0.522551056536556,-0.0642095148787494,0.0913485272776383,1.30706323244108,-3.77335373775215,-0.0343804079931157,-0.0632951822316141,-0.089804582654212,-1.73181134478123,0.361343833943873,-0.157916893106312,0.157383751858493,0.532027410891276,0.499082176477184,14.6631102312785,-8716.21644528313
"2",-0.254475383477235,0.41714290034709,1.12873240730939,2.1894983129494,-0.918268706701924,-0.0756826084793598,-0.106948229274988,-0.351971420788535,0.316155712132415,-0.466976204311617,-0.0625328229297955,0.0921256389793195,1.27232446794696,-4.31227111124376,-0.0967710724443907,-0.0619232026079758,-0.0595058902954161,-1.63128421108078,0.129223252961222,-0.194949280628633,0.0962674174151524,0.524297867727063,0.671531783325584,13.6875323414033,-8716.88470013334
"3",-0.246121460131797,0.367229436918267,0.916499765630068,2.20668093898404,-0.963353043789448,-0.106184099292161,-0.126500543408111,-0.351696681406392,0.258378400794419,-0.496920035983609,-0.0594682375772205,0.0958982258482972,1.29744820747204,-3.93224421699834,-0.0982386678898811,-0.0620288617124343,-0.0636787524902789,-1.6679993584306,0.0755258886298273,-0.206059609827562,0.0990084010258135,0.553989023855519,0.672434834109171,14.0328725056667,-8716.45551555177
"4",-0.269979751320948,0.45196755416464,1.21301065969764,1.64434072446909,-0.686935086419989,-0.139496898854136,-0.100263950669441,-0.363710311582993,0.286581208072074,-0.509620477005755,-0.0601862469466597,0.0943012694528189,1.27945385465116,-3.90575758915648,-0.0449555761165842,-0.0665513775502612,-0.0990703498476565,-1.66875830407618,0.349931743498885,-0.1709914531762,0.102632249453272,0.523775122835663,0.524892519263787,14.0645825112457,-8716.67475553401
"5",-0.266353870678335,0.433025676632762,0.810996187131054,1.38811896473605,-0.713073108593366,-0.124348238570161,-0.118047275398479,-0.363882787918997,0.268896610514345,-0.492448052826716,-0.0684190516993421,0.103966626696309,1.28330655773383,-3.84556441969076,-0.01696609683828,-0.0632496788182817,-0.0644956518925004,-1.65552555803079,0.443784501014084,-0.199285282840107,0.150345866576055,0.507638016403835,0.599147667480581,13.9981657722937,-8724.3942222655
"6",-0.337108295799396,0.394057696240536,1.59780358409416,2.16839599721188,-0.868666860498161,-0.0280350291112545,-0.131614996798649,-0.339731020347425,0.183673432746116,-0.485632792132045,-0.0654133042484348,0.0836985932472041,1.24209787750658,-4.44009630025867,-0.0916842102516174,-0.0591181243047577,-0.070216575670902,-1.71305505476898,0.00563005948013086,-0.113130790864593,0.086124315042886,0.546278471074388,0.642173711747895,14.512618446631,-8724.86996137028
"7",-0.213520172088118,0.432503665824453,0.552396928103656,1.49560322824511,-0.751730363507889,-0.179130333153358,-0.0245676435434634,-0.375017726977236,0.323666467805064,-0.506029865322881,-0.0664375456333735,0.0941770555502418,1.30101387458316,-3.31621722034603,-0.0241678521479457,-0.0669651092765147,-0.092863486647106,-1.64408759936288,0.333710703499999,-0.181407688815502,0.116262429092027,0.506001037157973,0.418534824062207,13.9089746273605,-8726.2429864288
"8",-0.233121164165276,0.380219585885008,1.28268604120703,2.13288480550513,-1.0915802811721,-0.149619915174281,-0.147011844861931,-0.339920717955044,0.245679766988881,-0.473602478812719,-0.057063444787383,0.0924291349985434,1.32823755411793,-3.81555202512247,-0.0915990722460063,-0.0649632376836155,-0.0960502117039813,-1.65228684082016,0.106553540708156,-0.138657329843234,0.0813269286293057,0.519791269694437,0.374750289014829,13.9804562625489,-8721.10620815488
"9",-0.238913510859144,0.383816063809596,1.33336393265529,1.89816957664107,-0.842696173027908,-0.136711101876778,-0.0771103802015129,-0.337630963049002,0.200393634534659,-0.480213196041338,-0.0678813999987879,0.0921997285814261,1.32119023572191,-3.97034867182736,-0.0652966029848243,-0.0661561453380769,-0.0893358344919679,-1.66605423140852,0.149800971118513,-0.145914231068487,0.120688331233359,0.513516550925373,0.41220159633605,14.0249985321747,-8716.02070419088
"10",-0.279758850201081,0.43532496464927,1.38597430956312,1.89810645284889,-0.848167202445573,-0.188438633796351,-0.0900801961393952,-0.356683988526546,0.341001077647359,-0.537512062048738,-0.0505454811104513,0.0982376629405654,1.28783681022496,-4.25440329039749,-0.0717723564882723,-0.0665086592362326,-0.095855699112278,-1.71488311352766,0.303609519600097,-0.100218506269272,0.146440287497313,0.517864448914203,0.52759527925063,14.4614915511666,-8719.53042416337
"11",-0.29546229846228,0.379197778553343,0.938925073809523,1.88861637750873,-0.747100688492685,-0.0299566116252118,-0.0665125901720541,-0.355314844791965,0.130709403575402,-0.486170990518858,-0.0662695794882376,0.0919761756917691,1.31242148808188,-3.84698178220926,-0.0640982803273622,-0.06253318886729,-0.0701278367702213,-1.66674312462247,0.171790559408067,-0.326688566667441,0.133502047849388,0.518934800052555,0.530783067045899,14.0564190541097,-8721.25378811743
"12",-0.301663153691876,0.418163868127815,0.908328233938027,1.95215320355316,-0.971493481564955,-0.0310858430169064,-0.135918563468089,-0.349620601653935,0.251060823750963,-0.519812545012172,-0.0615950718763158,0.0973356841411992,1.3241783379669,-3.91809539635634,-0.0769213808265645,-0.0684444603917734,-0.0763365902479392,-1.65371879566063,0.2379644275836,-0.0921433129564186,0.122475818722507,0.518440228395991,0.577887342094711,13.9401095999762,-8719.4403131933
"13",-0.246056102815623,0.401323029673847,1.1370650783196,1.80609086282225,-0.819034603629291,-0.101200272995141,-0.0779174624055284,-0.353353120732354,0.290763984462334,-0.494836976329127,-0.0608087311666651,0.0964191367910879,1.31491711668967,-4.27931595372388,-0.0587683777155288,-0.066773329440759,-0.0544132494927207,-1.70134767855659,0.207955619120574,-0.138633295315998,0.141065829459425,0.515013631901214,0.669555011868032,14.3529046656571,-8714.58857076749
"14",-0.184886836209508,0.419847318112116,1.36840100779678,1.84322220612265,-0.848569800695561,-0.129498715305353,-0.0770908261475397,-0.352471671808296,0.213545355556733,-0.490850875107021,-0.0619331208801185,0.101053792993072,1.27898244708266,-4.60813966750317,-0.0603373543981255,-0.0637558373597387,-0.0320231104401405,-1.67839066657303,0.313685629870576,-0.180638016666886,0.0804888531375449,0.524016651277572,0.618549445524495,14.1739805526253,-8718.61463822623
"15",-0.225496078806068,0.429613187331624,1.5603658481802,1.96354866302418,-0.880157886103819,-0.129207232177352,-0.142473486717272,-0.368359751904432,0.31006252309045,-0.472653138487946,-0.0601584163992746,0.0961654022384726,1.31375270101349,-4.73618327027113,-0.0696126626392464,-0.0675481271084041,-0.0603683151557341,-1.67333244125153,0.146620961151175,-0.14442059050225,0.113715614024727,0.507690794264212,0.725442969855596,14.1083546659902,-8717.49992616907
