"","sexrace","sexp","sexj","sexy","sex0","racej","race0","agerace","agep","agej","age0","prace","pj","p0","j0","dsex","dp","dj","dy","yrace","yage","yp","yj","y0","lp__"
"1",-0.33069813501704,0.407250930222843,1.32625384763856,0.0891947133663161,2.17607550111759,-0.587468862529828,-0.0636290435891713,-0.092182839996365,-0.356522515902495,0.353246496830891,-0.456571134509624,-0.0618456353253026,0.0919433045547044,1.26723722045785,-4.33888950795233,-0.0884102242766532,-0.0616272180746484,-0.0742280598854411,-1.64702170468845,-0.163320352270512,0.0725729524316989,0.536074092165965,0.448230569469834,13.7949957325539,-8722.02766246548
"2",-0.090980764595188,0.403280089550971,0.829102014840813,0.425886263392726,2.30010383226557,-1.03931336711576,-0.262665910135501,-0.0745745969755082,-0.363284438950972,0.218990854526849,-0.529989426843818,-0.0657428260196466,0.080253050537129,1.32759404609546,-3.76756155658314,-0.103402745352548,-0.066164923574432,-0.0616132975483018,-1.64657671271287,-0.200984591003216,0.156626291122388,0.506658030509755,0.646828551541014,13.5067315510723,-8724.31730262919
"3",-0.288186351620239,0.402031952677668,1.40502051025133,0.0600855746409537,2.32195212118762,-0.656559762791064,-0.0770362214696941,-0.0728002828716348,-0.347346790920938,0.314337469075873,-0.470488975302826,-0.0598444134331532,0.100023039735671,1.25483361846301,-4.3712383130209,-0.1070515432277,-0.0604959734274072,-0.0713280650565948,-1.67515839756431,-0.161482244241702,0.0902862603928351,0.541554009139182,0.346345717825622,14.0666640187716,-8720.91971418494
"4",-0.251387103625173,0.418257801378615,0.8866001552768,0.352676258596732,2.21653497386011,-0.891112603837007,-0.163744147295225,-0.0928144063579312,-0.345500619755811,0.11012663051595,-0.526560819592693,-0.0645172263951505,0.0940045570758728,1.292612498903,-3.89380706037146,-0.0965859561564015,-0.0636249388309031,-0.0671839035488964,-1.63321283621276,-0.103670545980071,0.129364838143857,0.494136186458118,0.696939898684775,13.487669391724,-8720.67039724663
"5",-0.21089873274063,0.392352753495003,1.15341701312307,0.159446719717823,2.46921815418228,-0.71130230432404,-0.100788465573393,-0.126691123154625,-0.371250725013313,0.321987130709661,-0.47367281497324,-0.0660252953003227,0.0955186868266889,1.29294169400811,-4.08322849051251,-0.121112985057492,-0.0616505128942423,-0.0899518902707564,-1.63228644659327,-0.18376123219506,0.138249190556646,0.523895515622365,0.535759988810308,13.6597400262008,-8720.40423071113
"6",-0.224860038821522,0.393141653804762,0.855978063726851,0.330534504014121,2.3472708044953,-0.896827344414089,-0.193575388174204,-0.0871917253924755,-0.343618622323369,0.197236250078356,-0.529438743905648,-0.0602028627345269,0.0972607382440171,1.36818471026644,-3.60913882281133,-0.115303022454788,-0.0700041170781379,-0.081123437115608,-1.72250885399946,-0.164694256327569,0.186505473400834,0.477105475195281,0.482867490371268,14.2969259006655,-8723.29236534771
"7",-0.255514857936634,0.403765379440759,1.24737602296127,0.090504541474949,2.2464007812464,-0.765681302498398,-0.110865430726634,-0.109557871235457,-0.373461286272571,0.324498802240855,-0.507049112414723,-0.0673606357401169,0.0890217883472485,1.25347867116235,-4.09774686804366,-0.100945427006258,-0.0582687325271019,-0.0901206352790308,-1.62447804026538,-0.187885860915266,0.113430536694848,0.537713799322911,0.670994755281654,13.6314027337324,-8719.97743770518
"8",-0.25888735325883,0.452274436103214,1.23641243100006,0.153658911118021,2.46522326348577,-0.787320914480724,-0.173320681612006,-0.0796482096753745,-0.35101132333525,0.212723995919793,-0.449170786256604,-0.0598399559247096,0.100908932792189,1.1945565058314,-4.50539960021882,-0.125807033234761,-0.060504189446602,-0.0460347171582567,-1.60853778169216,-0.155474172015154,0.0656286190894738,0.557352811386752,0.650504474624887,13.4056441312311,-8724.06910185675
"9",-0.283609870398606,0.457984277254654,1.21457474445495,0.184143214271953,2.49542907288513,-0.791882573306201,-0.165859265542514,-0.0698347722098674,-0.354644175654558,0.270292087200587,-0.449080122254566,-0.0611356931083229,0.0985920811874964,1.19829640131472,-4.39049045066511,-0.125190229493707,-0.0590521481600004,-0.0512674702280892,-1.60050212680872,-0.161959836229518,0.0590054882402104,0.561238201718613,0.709979978904999,13.3079519427671,-8725.49487670458
"10",-0.241144642757134,0.377797735734607,0.94166963519272,0.359089131119751,2.29504085854286,-0.929863281698019,-0.0543844186845321,-0.134091501572259,-0.35886783587651,0.21168069764992,-0.530365853054835,-0.0622251499789142,0.0941490099720391,1.33210599977421,-3.71785815109539,-0.105523408900881,-0.0671310138406388,-0.091632554030901,-1.70269604995459,-0.177534016570577,0.171824899386319,0.528383560592248,0.604458429681875,14.0523358105601,-8718.99128522931
"11",-0.354237880286557,0.425987806665527,1.16765751312328,0.100448792952007,2.40627295812774,-0.644136538169739,-0.114968931089948,-0.0678957351195858,-0.353458596661679,0.262101948915664,-0.47542272236156,-0.0631088482308496,0.0954390471214675,1.2701926341589,-4.11170276733425,-0.119425232256314,-0.0626682412615997,-0.0677639019416467,-1.58625469716594,-0.185759647605087,0.103742521953401,0.52952673088825,0.456967788119064,13.2540903927287,-8722.12550447042
"12",-0.180926063818241,0.391947533255782,1.30636893204377,0.249100623739514,2.10661711490938,-0.859242525237784,-0.182100040794181,-0.108573025737814,-0.358744557854961,0.271319148427569,-0.519285054535324,-0.0620697099597926,0.0963278843115282,1.29197821026026,-4.36459464667654,-0.0855811805073091,-0.0634011602837431,-0.0734849450793506,-1.69645161304127,-0.160011295802394,0.122015353735497,0.531731377644827,0.676494535751632,14.1041640746066,-8713.88543525342
"13",-0.302576890947606,0.424263739834486,0.858948845936072,0.269235809470875,2.4420456809948,-0.789848622002087,-0.109243182886258,-0.0585984375306486,-0.351697226747126,0.155603392395926,-0.514349684315923,-0.0630764168000028,0.101375958272566,1.28083536780464,-3.77160345796111,-0.119399141179976,-0.0638177706428995,-0.0781650896308119,-1.63257410148128,-0.171422779213655,0.114030493926966,0.527988868758094,0.565132761817915,13.5671562465489,-8716.68734874398
"14",-0.362956654777213,0.411562570059706,0.646456159246722,0.169523190740561,2.34977462146326,-0.773472133171501,-0.0795710882267425,-0.0660488485758498,-0.351254678227975,0.171493799791835,-0.494940580361382,-0.0581455483465705,0.0984382348867665,1.28947018510058,-3.58710165804449,-0.113978259099272,-0.0664439090119202,-0.076341172530861,-1.61314154583752,-0.139636399143385,0.0989786403821091,0.534688276923395,0.514200134034762,13.3944835765511,-8720.5774510383
"15",-0.339413867207377,0.396027788923879,0.625317152062047,0.0718498359319357,2.33917045306672,-0.903333527618465,-0.0860202237673988,-0.0766036845903489,-0.348725840420826,0.169301994342667,-0.457813040441594,-0.0650859104725945,0.0835654255026988,1.3054933812257,-3.65625208487339,-0.110464315321419,-0.0654815580365359,-0.0542620295982513,-1.61676203875951,-0.164718787538681,0.131555879939568,0.510258889546251,0.84170365323118,13.6107194897883,-8731.119231671
"16",-0.18578700229977,0.391270226950439,1.06331343475688,0.220357323715225,2.16996767526807,-0.953808975359191,-0.227372366961514,-0.136914462761636,-0.360517329969905,0.155850030604463,-0.54515288433519,-0.0593570032678716,0.0948356425744723,1.32397827819012,-3.55434051415043,-0.093268149249915,-0.0653318052130179,-0.103848404747641,-1.75355106709904,-0.131863923169917,0.126871639867446,0.538076843063124,0.460239336753303,14.6414723006513,-8729.86527641023
