"","sexstudytime","sexhigher","sex0","schoolage","schoolstudytime","schoolabsences","school0","ageguardian","agehigher","ageromantic","ageabsences","age0","Medusex","Meduschool","MeduFedu","Medureason","Meduhigher","MeduG1","Fedufailures","Fedu0","reason0","guardian0","studytimereason","studytime0","failuresage","failuresguardian","failureshigher","failures0","higherstudytime","higher0","romanticsex","romanticabsences","romantic0","gooutage","goout0","Dalcsex","Dalcgoout","Dalcabsences","DalcG1","absencesreason","absencesguardian","absences0","G1school","G1studytime","G1higher","G1G2","G1G3","G10","G2reason","G2failures","G20","G3failures","G3goout","G3absences","G3G2","G30","lp__"
"228",-0.228726533523275,-0.658831579892419,-1.63047483831911,0.0460720191731806,-0.0788770442530424,-0.692043786536689,1.26410335438876,0.0719687175644548,-0.173469681694348,0.0850756492096573,0.12669628215237,2.80408148266968,0.242262668875033,-0.485049503278909,0.271638600822415,0.0557143531647202,0.512221344333552,0.0683791049135873,-0.0567035290318474,0.115405015622772,0.140513409484694,-0.622183093911857,0.102769168955839,0.260327633779069,0.0105031612774616,-0.0246838274987467,-0.0965763571260043,0.79063880772316,0.174122277620019,1.27218642211634,-0.270512167172837,0.241010180170802,-2.00281289351054,-0.00283396483378896,0.998715470563403,0.556682599535653,0.0991416511339849,0.141700952579904,-0.0491246401935259,0.00477805766608418,0.00570928405701345,-0.581486046963829,-0.113517767181827,0.0316718631450487,0.33200443478373,0.0670396628323645,0.742364869059937,2.30991710058132,0.0195830749200792,-0.0160677822555547,1.43624593646393,-0.293381180627398,-0.0444084354456249,-0.306187945133359,0.276768302055823,-6.09897387625076,63058.314589729
"229",-0.163017713361878,-0.370849396415087,-1.46521891485214,0.00766160803692696,-0.14552767133299,-0.77459246746791,0.899574950194719,0.0200888742254734,-0.388612670831095,0.24559439745285,0.141487636491006,2.72384629123981,0.105707766631013,-0.418830474223273,0.288713599541476,0.0396934854101051,0.87162208867196,0.040303388626901,-0.0513810106474571,0.0626591100100329,0.383381645409484,0.0546350323135787,0.0605520042064793,0.332425781238834,0.0441312891079942,0.102394959704362,-0.215182240369138,1.00056315664003,0.261726491382688,3.50751555544368,-0.8961552954758,0.207570849046318,-4.69947156744494,0.0100704451757244,1.09545452910366,0.774201282950702,0.0925743425895829,0.133184253705081,-0.0381777313383608,0.00291019826462085,0.00502652457797851,-0.740486322275797,-0.0909789448401849,0.0163489937343386,0.427329793452668,0.0684851375746124,0.820499693851999,2.36060211787289,0.0150525520283098,-0.0465772435050006,1.44371424991521,-0.233184252081368,-0.0648659442619725,-0.382851316993008,0.222637494139895,-6.59022339418716,63052.4935711502
"230",-0.159926453733997,-0.698491319923636,-1.76937208322328,0.00982005463452212,-0.12638287280913,-0.759154471867616,1.39529278728452,0.0585484209867825,-0.0856642476143674,0.0956691168026626,0.150017363121407,2.77600735660419,0.183379976610962,-0.460493891789464,0.256926391875227,0.0342221644264936,0.868221154008606,0.0433220465296193,-0.0382503150851993,0.159837333043119,0.174423595493885,-0.522147238197929,0.059749888522006,0.311524153874754,0.0303842460347189,0.0848858112188542,-0.558909909546962,0.87435744578828,0.251914016552632,-0.0416508624698231,-0.767994679507361,0.202118589769518,-2.21182369152362,0.00212587380345353,1.07462637474643,0.808710415985026,0.0958197881512907,0.164164854896379,-0.0355179039754863,0.0189725798863608,0.00143434856494931,-0.988370847765395,-0.113030888358208,0.0191857852560805,0.328649987567269,0.0591712335131645,0.845572755451736,2.34948256032026,0.0243399413454619,-0.0389829900022032,1.53599843824849,-0.194590596733664,-0.046812025417939,-0.33758991475002,0.248860107784727,-6.94077619470112,63051.3979835558
"231",-0.236275096030541,-0.540984263193467,-1.95372945101762,0.0401144214716491,-0.0719771443313642,-0.727127621688349,1.1238090470313,0.0455289647913402,-0.315007547932157,0.17529111200162,0.143772601683368,2.76120037891292,0.283612133322463,-0.407554880734839,0.281398883615485,0.0648934385856921,0.469224797618665,0.0578559787478409,-0.0740814492793289,0.0728700312799457,0.272737960918661,-0.19541326376233,0.0980123728970292,0.288738992780467,0.0193856316636077,-0.00853865041081564,0.0734241111333628,0.805884102077888,0.198954700177306,2.88439878613939,-0.369057168818819,0.223552579771909,-3.48764397501483,0.00421384156311902,0.944708012077986,0.655682776491932,0.107469982014252,0.107940290898853,-0.0633823002324455,0.0129144779298024,0.00536309277441738,-0.769755893054808,-0.104252051252175,0.0269801436262483,0.399731126793949,0.0734485436350922,0.801049850017087,2.35755099231749,0.00652504040291979,-0.0155475223393546,1.3349459984373,-0.283453706078133,-0.00986506560338733,-0.336122024025339,0.270601424392238,-6.52062030870033,63058.0384224516
"232",-0.165697401366729,-0.409211319892546,-1.69359979526842,0.00908253200916848,-0.121973895180783,-0.730314843916891,1.0731128406736,0.0792251189636532,-0.356257342219363,0.103987989128235,0.161772096576368,2.7640977972553,0.165971883323772,-0.391218659002256,0.253698816179738,0.0332103389958782,0.896228790465175,0.042298165077896,-0.035613063010577,0.210476898776546,0.264034660595727,-0.818894747736174,0.0682953065991149,0.376222412361679,0.0351555888892941,0.0491880980655749,-0.232765701263236,0.988633813263305,0.170212027583204,2.88811302854418,-0.729852944737079,0.219006762567918,-2.35768651377606,0.00436926025995264,1.17731771137616,0.77959586857732,0.0749069960233986,0.154797159623221,-0.0351370916285275,0.0111539200114703,0.00189954427088432,-1.14835538273452,-0.103056046500405,0.0210715523668255,0.436105054662625,0.0540674265226047,0.838734453861736,2.34819503925183,0.0196778195466609,-0.050199986488946,1.57780496106473,-0.0925164273619104,-0.125143258834318,-0.327391336247573,0.277117877365639,-6.89172473144727,63050.5859624022
"233",-0.162841414359759,-0.430308913298436,-1.6823216500937,0.0315728663080443,-0.0989793432981617,-0.757166636743319,0.835082441314158,0.0529289480810584,-0.316035551782432,0.102797540528697,0.142216068412438,2.73510029268369,0.187370659790232,-0.459636637877194,0.26832104754888,0.0455770196139203,0.85034691126437,0.039416350306415,-0.0628913062093585,0.134137982337286,0.27370477757274,-0.402476330661207,0.0816202141029868,0.316228197459464,0.0372924431932759,0.063865803054994,-0.0726748424524112,0.95817872037927,0.139721866967799,2.47233595236693,-0.7043061060024,0.184495365070656,-2.31153763437262,0.0101416183749552,1.10949802606833,0.76690013470786,0.0622294541648862,0.147206462986129,-0.0428968266768873,0.00532010409251983,0.00417035363271702,-0.813186249894497,-0.0579077565600874,0.0283483864731126,0.375853425499033,0.0614794887956073,0.838928081576797,2.37663072924638,0.0176067618069909,-0.0444105909662728,1.50560388682283,-0.100170527304637,-0.0830315970579404,-0.334080496801994,0.250575407450246,-7.05241564561658,63070.0721493744
"234",-0.178904356529984,-0.551856127713895,-1.53385201734696,0.059108967227992,-0.0862937616068822,-0.75646145829908,1.53238449424698,0.0535200440786336,-0.151915590261202,0.200159678066054,0.145106671322727,2.77993144998311,0.0866456187186677,-0.486626260264299,0.282664308545452,0.064456852673608,0.816548406682961,0.0521056271511393,-0.090896598447017,0.107479971186503,0.299448153647823,-0.375203746253304,0.0569191969862992,0.441993744350148,0.0254339167371421,0.0387619649951778,-0.445265184629271,0.829986874271152,0.0975521735703412,0.882382167351495,-0.585115500712589,0.197225773111467,-3.96228145525876,0.0007987922881915,1.02898446477555,0.81797938601392,0.0939485924071557,0.149461156793906,-0.0290202321822472,0.00778261677783942,0.00346902832743067,-0.847433520366399,-0.137905862475656,0.0224474714778855,0.322233205200457,0.0676772955567288,0.775255625391728,2.32444393607694,0.0118936948465367,-0.0139465003908357,1.41473002784182,-0.286503819522939,-0.0180423497753815,-0.361640831687651,0.26511175980983,-6.38719054596297,63064.8610134967
"235",-0.193355288811676,-0.448310999670333,-1.6905814684893,0.00432747537551227,-0.0305100340933953,-0.717953170610499,0.704310673484238,0.0431910083065006,-0.267993577592459,0.108757090835547,0.130234047754737,2.73696840027497,0.257438254074103,-0.403750976662609,0.254913742981429,0.0277567727873105,0.639535564393647,0.0572561640469778,-0.0251325595260854,0.138079033084303,0.232175900653403,-0.160211849478562,0.105682571937424,0.325999768944652,0.046927036619401,0.00970516286449075,-0.201766200093553,0.8605648969426,0.274135459132035,2.00181371762027,-0.517675855832367,0.234349363115632,-2.43531518302886,0.00815414896256578,1.10994177305266,0.606502468116942,0.0917115547624148,0.123394378239291,-0.0570885919412056,0.00826308165676392,0.00346988525174646,-0.611258328549146,-0.0607161849046443,0.0161071551042825,0.423776742809041,0.0653560605015231,0.847856113753431,2.3537769826317,0.0209425726679111,-0.0414183887700491,1.44567489666075,-0.145912692863401,-0.112101019753317,-0.334829122928455,0.252599033230806,-6.9770067792908,63068.652204083
"236",-0.182857930373192,-0.355522903300127,-1.26097296591417,0.043653466026068,-0.235960022801458,-0.738530919739679,1.00867967723264,0.0636398781751281,-0.169873465821312,0.122009468021105,0.149466868738709,2.75063583309902,0.100200729727677,-0.476012959061875,0.260987016992751,0.0479498580714719,0.655973114833292,0.0640245844139168,-0.0619708729419544,0.162737157693166,0.37627022104654,-0.617825536728058,0.0305798335169025,0.530180561311208,0.0246948209286382,0.0982508520921394,-0.207787483464155,0.859979280982336,0.0892737253448188,0.516081106883511,-0.839630322054956,0.215226160682516,-2.55666216276019,0.00559626183818692,1.11438420445475,0.706981326986672,0.0707122810233828,0.119921485844018,-0.0365620940176916,0.00850711194513024,0.00835107872073905,-0.879503236256939,-0.0750927094139984,0.0175099230220339,0.386188122549835,0.0627616153315248,0.797893322363458,2.28724203514095,0.0129463993932955,-0.0244510368243469,1.49882328931799,-0.270008374718408,-0.0666950980990124,-0.397613432681723,0.233384575061565,-6.58842253535882,63060.4693557619
"237",-0.294511524660426,-0.73226013814037,-1.94565854707816,0.0018290495925739,-0.0386766765206169,-0.671852123122911,1.1296722388784,0.0376402559592511,-0.212425752112807,0.202482165046321,0.142923675942312,2.76203033777689,0.294738431310329,-0.396331081060041,0.28811959454417,0.0531095719878806,0.55643688992771,0.0516234532990709,-0.0630557597437641,0.064443046425799,0.144901266641925,-0.0653723342867848,0.118411657468722,0.0404722039683033,0.0255774014209588,0.00230439005757889,-0.207577333684203,0.935666289529053,0.313491547444877,2.31962589292114,-0.500769912460024,0.244386589591195,-3.9630981668198,0.00592582751491111,1.07959599694905,0.670735885494125,0.107808607948548,0.152024218741382,-0.0736558929657955,0.0118259789622103,0.0111831490111727,-0.901741826574248,-0.109525268924304,0.0400036491685749,0.305360388554018,0.0683282928597595,0.828041986595436,2.38052111146978,0.0154591193100252,-0.0371568618488561,1.4145095571389,-0.142517529492919,-0.102212349215585,-0.305611356015029,0.256119579855222,-6.7402966637357,63058.743145951
