"","ageb","aged","agef","agei","agek","age0","b0","cage","cd","ck","c0","db","d0","e0","fd","fe","f0","gage","gb","gd","gf","gh","gi","gj","gk","gm","gn","go","gp","glabel","hage","hb","hc","hd","he","hf","hi","hk","h0","id","i0","ji","jk","j0","kd","ke","kf","ki","k0","ld","lf","lj","lo","llabel","l0","mc","md","mf","mj","mk","ml","mlabel","m0","nc","ne","nf","ni","nj","nk","nlabel","n0","on","o0","page","pb","pc","ph","pi","pk","pm","po","plabel","p0","labelage","labelc","labeld","labelf","labelh","labeli","label0","lp__"
"756",-1.23980007363104,0.29327046341763,1.33745851044291,0.900500175553504,-1.27775419639605,-0.596130292588035,-1.43193301081641,0.554525473645092,-0.832618080459129,-0.0159104084165981,1.39919951660395,0.338254168570489,-1.43389047618761,-1.2466073362411,0.0938260853783165,-1.49359764399485,-1.48405868468076,-0.625005149595832,1.58461417036624,-1.47784885497744,0.0822676782452028,-0.939014685949302,0.730533826459524,0.189874520435489,-1.40459336284509,0.265079312204658,-1.36052117042972,-0.670911338624823,0.439315367362006,-0.682876241663867,0.290218808349497,0.505230232060104,0.645081880864976,-0.632590002025385,-0.166941468234265,1.53191252244318,0.126514592969765,-1.46711815470471,0.576602010614054,-1.92127385168616,-1.19081489118123,-0.0485420371218447,0.0889521093318763,-1.20020773698133,-1.75910704825722,0.927428173520493,-1.62446088080214,-0.244756919163508,1.58979282344861,-1.09236125651253,0.0135390076063929,0.0329188123223808,-0.605632859960012,-1.40454952499635,-1.6031690532909,0.0137215200021123,-0.472542124780331,0.169793979387231,0.0980193439712418,0.11981570475745,-0.787384617271428,0.135682896135694,-0.693270513178203,-0.398468795653032,0.369059370365789,1.26606249302148,-0.963065502507544,1.67370257988446,0.544122256163338,0.49430870596893,1.8357312128595,-0.217744990199295,0.799166746176608,0.13920741949586,-1.46024705911727,-1.94283568749937,-1.85850869735406,0.14213282263395,1.65086203442274,1.49167935161814,-1.22828301764299,0.138835770257494,-1.47609167073592,-0.0425994819961443,0.0265087397779542,-1.91343364994108,-1.10780471142478,-0.564951723285991,-1.98381708589755,0.803964171543828,-17452425.0077982
"757",-1.23979015144126,0.293278045592709,1.33737205524831,0.900353374918185,-1.27772863958917,-0.59612204479423,-1.43193169332714,0.554520135082064,-0.832628317256181,-0.015909504136263,1.39919715261982,0.338272098321968,-1.43388793470857,-1.2466034426522,0.093854463376322,-1.49359668259733,-1.48405324982736,-0.625006584365595,1.58461110672999,-1.47785247258677,0.0822770465599545,-0.939014104348427,0.730533102796919,0.189875974507448,-1.4045867480632,0.265087063697891,-1.36052299053686,-0.670909456653679,0.439322630158458,-0.682882662183995,0.290213250033634,0.505228615356831,0.645085688191414,-0.632581364119044,-0.166945932447068,1.53191328069166,0.126501527899465,-1.46711931953981,0.576600493098292,-1.92128067599731,-1.19080784651703,-0.0483155711911063,0.0889863162699749,-1.20020265014265,-1.75909964907449,0.927428813692184,-1.62431687729795,-0.244694677754062,1.58979514466,-1.09232824675294,0.0135256670140983,0.0328522025986574,-0.605630679839073,-1.40455092108168,-1.60316599348413,0.0137094223760258,-0.472543577385307,0.169796346563818,0.0980171359362846,0.119783054549713,-0.787357173028018,0.135683990969847,-0.6932716388544,-0.398473918775902,0.369062513231286,1.26605962759391,-0.963065204502117,1.67369897319641,0.54412910378967,0.494314019662806,1.83572990972073,-0.217750380950071,0.799166941368947,0.139210170793546,-1.46024819040627,-1.94283743819173,-1.85850797736012,0.142122608365814,1.65084601635274,1.49168026544563,-1.22828232413861,0.138831628797578,-1.47608886287244,-0.0425956743032363,0.0265116287139089,-1.91343547851196,-1.10780624678255,-0.564955434197209,-1.98382120352078,0.803960423411512,-17450561.4684229
"758",-1.23979120292674,0.293279565355893,1.33736316212038,0.900334344583942,-1.27772220235854,-0.596122180996597,-1.43192968121144,0.554519186482096,-0.832627695260344,-0.0159109393426293,1.39919579238197,0.338273608490741,-1.43388661727733,-1.24660263793288,0.0938774426004095,-1.49359454092403,-1.48405222668602,-0.625003981179671,1.58461156519608,-1.47785191774404,0.0822778305940968,-0.939012383477915,0.730534173981941,0.189874967137746,-1.40458675977636,0.265089161716168,-1.36052510814094,-0.670910458703333,0.439322463999855,-0.682882111556545,0.290213751485707,0.505231349366011,0.64508418833259,-0.632579772834819,-0.166943533622135,1.53191331836,0.12650146782583,-1.46711944212641,0.576599307125123,-1.92127915772357,-1.19080722164982,-0.0483187576760078,0.0889819740945227,-1.20020124361137,-1.7591000229815,0.927427832938195,-1.6243029672746,-0.244672231919259,1.58979342265431,-1.09232665278869,0.0135749093041125,0.0328686543710331,-0.605629972775209,-1.4045503044296,-1.60316484732855,0.0137093157086902,-0.472545008416286,0.169796758540481,0.0981414905605938,0.119860884523078,-0.787351918416812,0.135684707394304,-0.693272386667773,-0.398472658238474,0.369062237921572,1.26605978910803,-0.963064996513804,1.67370086883932,0.54413043752064,0.494313704010784,1.83572746365313,-0.217748533155512,0.799168776762319,0.139207315883486,-1.4602468461088,-1.94283873252399,-1.85850796349496,0.142122798176602,1.6508452812537,1.49167805348935,-1.22828148418434,0.138830201423851,-1.47608930967166,-0.0425970257104994,0.0265136324583542,-1.91343505862663,-1.10780719699795,-0.564956537492728,-1.98382042084912,0.803959561309338,-17450369.3157538
"759",-1.23979102991016,0.293284419364187,1.33733026594369,0.900247995080952,-1.27771473222348,-0.596117382812725,-1.43192376107715,0.554515719430581,-0.832627036659514,-0.0159113236936356,1.3991966945817,0.338277818266789,-1.43388422819254,-1.24660407756643,0.0938293160040144,-1.49359442241337,-1.4840457488268,-0.625003912933857,1.58461461490526,-1.47785231437623,0.0822806237392496,-0.939013618791294,0.730537680659677,0.18987951426786,-1.40459219459656,0.2650916987022,-1.3605228184518,-0.67090795404506,0.43932945528199,-0.682884172752646,0.290213448470744,0.505228090223066,0.64508322462129,-0.632579085324937,-0.166943989948057,1.53191696110267,0.126502455547318,-1.46712180134216,0.576599253325393,-1.92127970146055,-1.19081140321556,-0.048302249791913,0.0889020925859894,-1.20021649060033,-1.75909614585862,0.927428329364383,-1.62423677310555,-0.244606018901572,1.5897921140091,-1.09231651281504,0.0135789561414404,0.0329104666379605,-0.605628319121327,-1.40454875757537,-1.60315633703201,0.01370708178753,-0.472540864250902,0.169746434036257,0.0979561327034987,0.119874028445327,-0.787338567711276,0.13568406869229,-0.693270501631738,-0.398472510318556,0.369065992695292,1.26605762265306,-0.963067118112778,1.67370286900541,0.544134636464937,0.494315640213982,1.83572871953473,-0.217746620149848,0.799168885645777,0.139206105014414,-1.46024891381197,-1.94284259489104,-1.85850607287939,0.142124698260176,1.65083962942472,1.4916756524052,-1.22828430525054,0.138830172656936,-1.47609119475626,-0.0426006276801149,0.0265153397296921,-1.91343739757993,-1.1078077880131,-0.564956696172112,-1.98381915867257,0.803957721375831,-17449536.2157472
"760",-1.23978689489498,0.293284445060961,1.33730835479336,0.900197538361512,-1.2777101187833,-0.596113414397383,-1.43192506056272,0.554517318067756,-0.832631122416712,-0.0159135172738505,1.39919505371515,0.338276677060136,-1.43388337124549,-1.24660377753202,0.0939083359074447,-1.49359663307468,-1.48404831133872,-0.625003333642429,1.58461565647154,-1.47784626329884,0.0822798626700791,-0.939017966764003,0.730538922658431,0.189879554367138,-1.40458738086949,0.265092690990929,-1.36052445960177,-0.670906350973194,0.43932669851138,-0.68287980614296,0.290215240836182,0.505228981512245,0.645082985135447,-0.632580078406577,-0.166941065966227,1.53191527690041,0.12650388969912,-1.46712381911189,0.576596958414558,-1.92127691140287,-1.19080573068635,-0.0482783536044082,0.0889260395691754,-1.2002166584099,-1.7590978646117,0.927428677523374,-1.62420117518604,-0.24460441663639,1.58979197154792,-1.09230701666123,0.0135741507766138,0.0329252993790995,-0.605628861601157,-1.4045467729601,-1.6031536614425,0.0137048046058226,-0.472536353030834,0.169740174106521,0.0979248655984863,0.119896338785578,-0.787328531457177,0.135687951933939,-0.693269794131581,-0.39846975235963,0.369066673522548,1.26605898681626,-0.963068777592175,1.67370711035689,0.544136134118521,0.494317889977488,1.83573207689754,-0.217746399135878,0.799166559824067,0.139206022240836,-1.46024787324318,-1.94284682859649,-1.85850985662747,0.142126287208617,1.65083983054676,1.49167271758648,-1.22828558459767,0.138833968202121,-1.47609275339932,-0.0426011498300036,0.0265145424619564,-1.91343929130922,-1.10781079672098,-0.564955289434212,-1.98382338716057,0.803960564559963,-17449061.8824567
"761",-1.23978238368317,0.293285995422426,1.33728463353767,0.900144176883208,-1.27770135635116,-0.596112064125868,-1.43192235762903,0.554520517692909,-0.832630792255382,-0.0159141531955491,1.39919263634371,0.338276937996932,-1.43388344412036,-1.24660309863219,0.0938176998321688,-1.49359942576405,-1.48404761976471,-0.62499983226434,1.5846155213421,-1.47784599642124,0.082279048660767,-0.939018310154518,0.730535847702086,0.189886039572551,-1.40458916311648,0.265091800925764,-1.36052294073733,-0.670902824337689,0.439326072573683,-0.682879346574754,0.290212411922331,0.505231176462065,0.645082056388921,-0.632582813148361,-0.166942355936483,1.53192151623018,0.12650316403183,-1.46712794063341,0.576593858925379,-1.92127981848596,-1.19080417236221,-0.0483033960864873,0.0889015771244617,-1.20021520345286,-1.75909457637136,0.92743107487431,-1.62416234872602,-0.244623988618714,1.58978648372454,-1.09230199827967,0.0135743600171519,0.0328546754058528,-0.605631037278139,-1.40454470393506,-1.60315005012017,0.0137052963301181,-0.472536860289944,0.16974922076957,0.0978807401874513,0.119788578272854,-0.7873246941204,0.13568873678627,-0.693274337919703,-0.398472633298912,0.369066803604736,1.26605858740085,-0.963064371219684,1.67370346620564,0.544133456170518,0.494315001163025,1.83572988019519,-0.217745997964831,0.799166115839034,0.139208960451915,-1.46025060602155,-1.94284700930822,-1.85851121364124,0.142126877310875,1.65083363155729,1.49167612828376,-1.22828629253117,0.138834055057085,-1.47609133848564,-0.0426066060519335,0.0265145128992454,-1.91343886526131,-1.10780739852245,-0.564955574240869,-1.98382504566323,0.803962503828214,-17448575.8364753
