"","agem","agey","age0","w0","er","ehr","ey","e0","mw","m0","oage","ow","oe","or","ogender","ohr","oy","rage","rw","rm","rrace","rhr","ry","r0","racew","racem","race0","genderage","genderw","genderm","genderr","genderrace","genderhr","gendery","gender0","hrw","hrm","hry","hr0","ne","nm","nrace","ym","yrace","y0","sigma_h_Sq","sigma_h","lp__"
"1",-0.0258261986015916,-0.0456591560367563,1.43060077943138,1.84813885812179,0.0913062469201328,0.132865087509283,-0.0920351517936979,2.05125834154499,-0.0356809614561658,-0.631344127207366,-0.00415482972441825,0.0125225247872493,0.00850632715796678,0.0127221429596512,0.223988154047108,0.0210724552785797,-0.104198000791833,-0.118454255795455,-0.0433950797171623,0.0975447170027792,-0.0181025958400643,-0.178342070134977,-0.519999330940115,-0.151230891382783,-0.0919059230632071,0.134909270344427,1.38628944900167,-0.128050257054135,-0.107924436432601,0.174906855860361,-1.10714853901076,0.0399282396321533,0.633774131689146,1.45503857378212,-1.17839025669653,0.0350716668888872,-0.0887893654629186,1.61412294420927,-1.70649767433543,0.00534807629370135,0.0236359025948056,-0.00192086987173087,-0.0616703300196823,-0.0268629027649022,-0.194352219250659,1.01373400637159,1.00684358585214,656016.373077489
"2",-0.0253049728529731,-0.0458213284918368,1.43160565225692,1.83251122700423,0.0906143113331331,0.13294647615535,-0.0949024174329611,2.05067977550752,-0.0375964901640165,-0.63106535803085,-0.00449040544651038,0.0146530655512397,0.0082996973141814,0.0127890792602725,0.225751599739201,0.0218651645358106,-0.104045585948871,-0.11696623691554,-0.0428413551145985,0.0983224587645096,-0.0184489874293194,-0.177407762141894,-0.514760465304658,-0.148423605056183,-0.0919381824439313,0.135345465854577,1.38625797715994,-0.127879652413117,-0.101987528696535,0.174563386680123,-1.10708126081863,0.038995549860194,0.626821302878575,1.45561933011041,-1.1770923176169,0.0331889344628723,-0.0780909810055552,1.6142619794042,-1.70530143761496,0.00536191808778563,0.0235832083435798,-0.00186022019550649,-0.0626952876677223,-0.0279142060265086,-0.193784767143031,1.01391209496414,1.00693202102433,656157.251999867
"3",-0.0273931181862457,-0.0445751196440029,1.42906023186215,1.82025710601752,0.0912519636023495,0.132767585282506,-0.0925515104249311,2.05077425900281,-0.035171108311328,-0.630899593369107,-0.00552104685586352,0.0133204377080196,0.00821059216232506,0.0133114493810045,0.225418200491387,0.0215871665135534,-0.105186557876427,-0.114686779931495,-0.0432359281313918,0.0975254419057912,-0.018583315230526,-0.1768141472187,-0.508295719322455,-0.147618027313627,-0.0877228600964848,0.136564476363699,1.38607516464486,-0.119721125880687,-0.103189955604582,0.174740761058596,-1.10692385030805,0.0365873501357658,0.621458586954134,1.455811790285,-1.1755616805081,0.0381248770729996,-0.0893489111448265,1.6140434830727,-1.70371743732446,0.00543800973085801,0.0235229705812678,-0.00191481716373578,-0.0633950145714792,-0.0284697043752475,-0.193245288473604,1.01622637088875,1.00808053789801,656275.387853578
"4",-0.0273258651773793,-0.043319536306766,1.42395960727425,1.77388485822799,0.0912673153603782,0.132368329462396,-0.0973102830589658,2.05090947682635,-0.034043587375645,-0.630747442543531,-0.00435649001557346,0.0149750552248544,0.00825396893998622,0.0125616440818342,0.224234393954842,0.022512888755435,-0.102116937647297,-0.119808584191719,-0.040202160503403,0.0981377667816465,-0.0192052661623194,-0.174194378217788,-0.482709396067829,-0.143653247935947,-0.0813254754135816,0.138824319992903,1.3861760764842,-0.132466673257186,-0.0897774508268713,0.172129602129086,-1.10694122076078,0.0339846117819053,0.606687103313058,1.45530793942033,-1.17273088458875,0.0403276608075502,-0.0860308718807002,1.61313402901425,-1.70193892644128,0.00541559174993474,0.0233277105138568,-0.00186629229757134,-0.0639131980211369,-0.0263136539510017,-0.195562702481431,1.01659867968209,1.00826518321426,656665.247463217
"5",-0.0256455201141083,-0.0432492763943935,1.42466587697336,1.76991490792288,0.0905482687040932,0.132702389752422,-0.0991143391324997,2.05083147475463,-0.0317089645765582,-0.630701609193057,-0.00415331997259532,0.0153728070196217,0.0082418183027986,0.0126920744311496,0.224575923746192,0.0232514725077463,-0.102040534779431,-0.118058385745252,-0.0394858796893469,0.0954306960233762,-0.0172214810332211,-0.173865856116517,-0.482897306033585,-0.142555525429984,-0.0824352389641495,0.138988306587999,1.38603932189231,-0.128651467029797,-0.0954650909373338,0.172494715142245,-1.1069185223555,0.032863191028025,0.606010052291506,1.45508358677134,-1.17246774947936,0.0312240585395156,-0.0812855403526044,1.61268936131663,-1.70125634810036,0.00538219823741329,0.0233045062543744,-0.00183270498383828,-0.0643144995665038,-0.0261046427490971,-0.196577416427931,1.01637741948757,1.00815545402858,656706.404102219
"6",-0.0264370578488764,-0.0421421058337085,1.42534281111335,1.76195645442466,0.0904293793082673,0.132713301593816,-0.0965645327183859,2.05078425267113,-0.0303434658477533,-0.630706478385185,-0.00449710883057582,0.0149012565643535,0.00831710832347301,0.0134789400229065,0.224583978154621,0.0226599177632378,-0.101273994593618,-0.113478290856126,-0.0429624886329851,0.100173422655686,-0.0209642985619839,-0.173474496930737,-0.480572330836517,-0.141353984525369,-0.0796558012562508,0.139194688407127,1.38614403979818,-0.126985177527861,-0.0887443718183516,0.16738534401681,-1.10695552504059,0.0325993143696723,0.603130585772438,1.45441669391473,-1.17184500270618,0.0391289745067014,-0.0813345725431458,1.61238548357788,-1.69982785184325,0.00541025641846384,0.0232288249009096,-0.00176073110002807,-0.0646947703288049,-0.0258469026113746,-0.196973054992461,1.01736950076262,1.00864736194699,656768.952587671
"7",-0.026480367545595,-0.0421882396914525,1.41970773604213,1.75218165688888,0.0909982673396577,0.132400922330506,-0.100031428598359,2.05161102070171,-0.0331662322035501,-0.630722371717467,-0.00405416045172936,0.014240316893271,0.00827765038432149,0.0127698726367157,0.223526862480017,0.0228336155161269,-0.0998756600594707,-0.11731587885768,-0.0403752956400171,0.0945234753935479,-0.0162077318902858,-0.172953933407355,-0.480137724593226,-0.140130753449138,-0.0722116256937787,0.141539704181883,1.38600203858361,-0.118076571193343,-0.103737858813059,0.168318273663339,-1.10683646667271,0.0333159249087251,0.600458465732618,1.45442479323347,-1.17080321876338,0.0330537261958857,-0.0831476055161217,1.61194039706315,-1.69861481965189,0.00535029305534244,0.0232993927873814,-0.00183287039333546,-0.0659853071270115,-0.0255756674514139,-0.197883655227823,1.01637181676297,1.00815267532402,656850.270117771
"8",-0.028880523819114,-0.0439155708976456,1.4193257808995,1.7054996516297,0.0906048790179379,0.133118266759246,-0.101929231619733,2.05333808864636,-0.0337295557318016,-0.630358420823258,-0.00483468096304208,0.0158823303284083,0.00845201953793526,0.011351962047943,0.223137242453436,0.0221970658724287,-0.0991193975636661,-0.114828882206554,-0.0325729113791516,0.0947241331399234,-0.02035771243775,-0.1703993396273,-0.465415000428155,-0.134165126425421,-0.0696963316405829,0.13256542975001,1.38637347535612,-0.116003777912566,-0.0760919599289036,0.172439362703817,-1.10672018704842,0.0310307405741071,0.582483841406954,1.45381265527103,-1.16753969720116,0.0335271020277771,-0.0888174321510311,1.60982910582201,-1.69592141666881,0.00529877583820081,0.0242727058051723,-0.00172746388025371,-0.0649913087706702,-0.025255723336221,-0.198852412895412,1.01516358171706,1.00755326495281,657226.366709968
"9",-0.0286314384378171,-0.0441287825429252,1.41756652424315,1.69216027178815,0.0889817533504015,0.134216276700614,-0.0975169263860004,2.05420621297626,-0.0275813112303089,-0.630421282049795,-0.0038221722439275,0.0154272426677832,0.00867110192041953,0.0136004743101608,0.222738846919949,0.0219013649620904,-0.0989618176051736,-0.114344007059929,-0.037160890901206,0.0995857968665813,-0.0187923576933027,-0.169955521353183,-0.461779529586299,-0.132281819630132,-0.0693589817093422,0.130971490355556,1.38621320596513,-0.12394207073059,-0.073440752783314,0.175684831274436,-1.10670623823031,0.030239792713376,0.578901429459494,1.45431446292624,-1.16576561963467,0.0387425279973164,-0.0783243256334328,1.60978848996629,-1.69389490426271,0.00518864782353622,0.0242512305207048,-0.00173162798956854,-0.0643568762924822,-0.0248678969982501,-0.198916719127604,1.01378183656662,1.0068673381169,657320.133016263
"10",-0.0290577470060109,-0.0456477280330276,1.40468619004678,1.54936660563789,0.0888836170060989,0.133256968653221,-0.102924718859806,2.06024024657172,-0.0256788821145804,-0.629318162268027,-0.00460921065403194,0.0174585478084188,0.00898078322992144,0.0107182424362114,0.220571266771597,0.0233203129630567,-0.0980117015363798,-0.113329868642949,-0.0251884192693858,0.0939496253024585,-0.0215520965655466,-0.163275012998545,-0.416482712392762,-0.107296122819619,-0.0448162908889894,0.137493479851014,1.38654253363516,-0.112983945663662,-0.0514298112843286,0.174615669181245,-1.10701729885386,0.0140746351084678,0.531955887012488,1.44960430200678,-1.15097635518608,0.0359949810080442,-0.0880073551046819,1.60376435214891,-1.68126141675228,0.0050154801371564,0.0235740492406508,-0.00139147394697285,-0.0672112239359536,-0.0231555107820202,-0.203810473432918,1.01671600177221,1.00832336171102,658372.864266182
