"","raceLSAT","raceUGPA","race0","sexrace","sexLSAT","sexUGPA","LSAT0","UGPALSAT","UGPA0","first_pfrace","first_pfLSAT","first_pfUGPA","sigma_h_Sq","sigma_h","lp__"
"145",0.656456395982676,0.0420330988786363,1.62421155165637,0.0434184840498839,0.881172931147957,-0.158806661300692,20.4634829375874,2.59423098396491,2.94813595315392,0.207940414985496,3.73491091241093,0.118814945810888,12.0439784062032,3.47044354603316,37732.8084790697
"146",0.647881242660218,0.0343391103931939,1.62423426707343,0.0444539730021367,0.89655489088374,-0.105061149401327,20.385605263511,2.60645152147478,2.93168524467679,0.206703250506865,3.82638965769814,0.146809627209502,12.2238367786858,3.49626039915305,37734.6382788024
"147",0.701231500681431,0.0330791913800507,1.6067641556568,0.048838292224847,0.898168976175954,-0.127417650650619,20.1827741530659,2.59472138142219,2.82722322049446,0.224728287012005,3.73452777686391,0.303032381131643,12.2788382495397,3.50411732816407,37734.0355120349
"148",0.64838002239085,0.0415818163100141,1.63352215055495,0.0378213978921752,0.959161348075228,-0.125186502192135,20.3764355076213,2.62841442008958,2.86681403012918,0.203686985536362,3.7002565906225,0.178057483419131,12.1989521165312,3.49269983201121,37734.3870174222
"149",0.702139267873478,0.0283457879405763,1.6016027080103,0.0487698579957174,0.868934720608604,-0.093831915242356,20.2956503358251,2.57949620140612,2.88427381472853,0.226819676996915,3.68001535001687,0.227249651604722,12.1229652704018,3.48180488689441,37732.523924074
"150",0.694948330806461,0.023489677764665,1.61299325903587,0.0358093232736899,0.787156736723637,-0.13678732473515,20.377902474286,2.59586042614698,2.87848419516926,0.219174090167205,3.59352970843166,0.311678389484517,12.2462190495385,3.49945982253526,37730.1564310282
"151",0.67167879354288,0.0359278675854969,1.61421604860919,0.0445657723532092,0.896722188623871,-0.0751267595318497,20.2600519624194,2.64345433440544,2.90468552988141,0.214594491217782,3.69540177021771,0.163758656598654,12.1581637229645,3.4868558506145,37735.6465110376
"152",0.71244438472022,0.0370497805461965,1.61287977248214,0.041513465623933,0.901549247226935,-0.131340807208792,20.0572171113005,2.62450271040516,2.94606037136307,0.224060608478996,3.61820377284058,0.139080225208055,12.2765992497507,3.50379783231719,37731.1961471409
"153",0.631589247686364,0.0393184883264057,1.62795751361966,0.0383433300104491,0.935940342664623,-0.132441725771674,20.5971839028725,2.56371851968611,2.87979269646342,0.204011818439647,3.78515224091287,0.187180291429618,12.1905252277118,3.4914932661702,37729.5519568065
"154",0.683641656050267,0.0322488003955199,1.61771303237601,0.0406614082783222,0.92829622256129,-0.121346161347014,20.2270618174532,2.61874835957834,2.847471616222,0.213571517722726,3.67157506780656,0.281576371947032,12.3166877573119,3.50951389188188,37736.9222484305
