"","raceLSAT","raceUGPA","racefirst_pf","race0","sexrace","sexLSAT","sexUGPA","LSAT0","UGPALSAT","UGPA0","first_pfLSAT","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"152",0.693172794310607,0.0325636209631827,0.285762560992453,1.8105008558709,0.0426699512261942,0.894162470089031,-0.266718336763085,20.1609037332179,2.63241581958825,2.96527971405704,3.65023874449221,0.240318687633192,0.40823112846601,12.2872542286259,3.50531799251165,30252.4002969939
"153",0.673569428737193,0.0336868564096245,0.284446240511044,1.80364252630833,0.0498881613670577,0.938972400310199,-0.255605232863552,20.1742848828971,2.64486312918176,3.04768375645877,3.6997633430041,0.13254999894014,0.415516731647384,12.1281624114945,3.48255113551754,30251.1761742749
"154",0.673278255357444,0.0379488910855134,0.283172558633909,1.81566218903409,0.0404014332402262,0.869543662964121,-0.00931201470765596,20.6502780470069,2.52648939662216,2.76577574987547,3.72567759859689,0.246077127928211,0.410318213620987,12.3476449256265,3.51392158785971,30249.4843664839
"155",0.675516819040594,0.0396996376020601,0.281880564578399,1.80359309940743,0.0496177760064131,0.975258800283404,-0.235924875154581,20.0196615690184,2.70256646416782,2.9765941207471,3.67932289238146,0.143105214291576,0.416605008633149,12.2392554826598,3.49846473223039,30251.674830961
"156",0.678086955964433,0.0459109017339406,0.287070780454004,1.81373770946487,0.0394585720086419,0.858088621732912,-0.0191168599425792,20.373865235863,2.5818228153599,2.72255575893397,3.70991235596302,0.239378006288733,0.377347087065645,12.3138968593092,3.50911625046951,30253.4685216476
"157",0.665336206427649,0.0798395238707426,0.298018557116582,1.80300015278137,0.0532413602995928,0.952618312322121,-0.201758966722471,20.2075077614676,2.65461603142531,2.6074407670059,3.71691899002338,0.250315745428808,0.297111791378873,12.1069341062632,3.47950199112792,30246.8631594583
"158",0.662686289025682,0.0432608504298574,0.286739499972233,1.81357321456928,0.035193739598067,0.911002478928734,-0.147753107709261,20.6104992664956,2.53359156354441,2.80710419895778,3.76931251568265,0.260583407086008,0.363265682279905,12.6020870078846,3.54994183161987,30244.4239738916
"159",0.664387887927187,0.0365878283612964,0.293629112306106,1.81234435207349,0.0348136704773883,0.930405052705701,-0.160207077045725,20.5353257502932,2.54562556983985,2.86239318521367,3.72842397890334,0.194663785785513,0.364946687694805,12.5717543710425,3.54566698535586,30245.1529445503
"160",0.668580080912884,0.0400067565679532,0.29157559293891,1.81344063846802,0.0398886362671315,0.905861605609087,-0.161108342882849,20.4658766100784,2.56124339243727,2.93273926213901,3.7291313059383,0.209219987643934,0.366641244202482,12.4997606233622,3.53550005280189,30250.3430775799
"161",0.672285341360764,0.0219433870782527,0.265792729521662,1.80846896839832,0.045590292268452,0.885166160974782,-0.154961846538377,20.4131736046809,2.60504548369689,2.99443572850374,3.62101227499551,0.191317331557406,0.507290706735321,12.1017933571586,3.4787631936018,30252.1618231655
