"","agem","agerace","agen","age0","wm","wn","w0","eage","ew","em","er","erace","egender","ehr","en","e0","m0","oage","ow","oe","om","or","orace","ogender","ohr","on","o0","rage","rw","rm","rrace","rgender","rhr","r0","racew","racem","racen","race0","genderage","genderw","genderm","genderrace","genderhr","gendern","gender0","hrage","hrw","hrm","hrrace","hrn","hr0","nm","n0","yage","yw","ye","ym","yo","yr","yrace","ygender","yhr","yn","sigma_h_Sq","sigma_h","lp__"
"301",-0.158296437350267,0.128049856592858,0.0304352694476794,1.88698156888131,-0.00674663493807756,0.0392929356110714,1.06279092468426,-0.0166664501984044,0.0692337226700174,-0.078349517314695,0.0326928036678374,0.171927165429434,0.216307984870831,0.234118090746577,0.0535780819925804,1.97929479246894,1.07276305705671,0.0114138400211075,0.0275698234157244,0.0238495502018916,0.000944061274559897,-0.00736849431445509,0.0281776908622186,-0.00239774677210909,0.030671456363148,0.00361940915736451,1.9344215329521,-0.26099488165215,-0.105671335430752,0.0228980667266131,-0.0410957859728495,-1.22565394786801,-1.79583481987948,0.205143718278573,-0.0151584190995333,0.254794452406423,0.21650105611704,-0.633706723494676,-1.53744839472142,-0.355008610692016,-0.43888977029074,-0.598753450149973,-0.476587609473222,0.116132741547282,0.421861049918591,-0.129457325537623,0.0974520126000756,-0.164085183732645,0.0909108188929006,-0.0402996319425718,-0.0544904296903684,-0.000332666945357589,1.89823138584432,1.54831252234129,-1.06707426329464,0.412432835396663,1.38670482196055,-0.231851974781451,-0.778878787963929,-0.765777391229624,0.751240179295358,0.72189433974393,-0.139919766257788,8.45743350542693,2.90816669147883,5442948.38608551
"302",-0.15837182181185,0.127808192950665,0.0306848995751106,1.88683084459286,-0.00665756723563733,0.0392007556801201,1.06285395466495,-0.0167010494535811,0.0690949974295765,-0.0783956999156903,0.0325764043284726,0.172042737268319,0.216490435928243,0.234770792692942,0.0529577831921074,1.97969858473716,1.07270634106547,0.0114896815118571,0.027676352945374,0.0235769902121173,0.00126269522020266,-0.00795249649169114,0.0279781008005506,-0.00210512756860853,0.0329865910915086,0.00353261392081903,1.93432648861453,-0.260640619019957,-0.105322498946297,0.0236039687992722,-0.0433072089736943,-1.22563433011353,-1.79562364589727,0.205149334760431,-0.0148977461487804,0.254646780650655,0.217171660960231,-0.633690679051999,-1.53742227411478,-0.354973229180452,-0.438874331482338,-0.597326895470147,-0.476560650958637,0.116075034928444,0.421894623483024,-0.129581265837832,0.0982099203142931,-0.164024733272374,0.0908954015168202,-0.0403458626364757,-0.0543993656290555,-0.000222839649370919,1.90123898438687,1.54799580220714,-1.06690609190152,0.412361952570887,1.38648281539317,-0.231598628096938,-0.778912185422046,-0.76572918515571,0.751162128708941,0.721807097396194,-0.139848076093176,8.35246973902525,2.89006396798155,5443199.46240593
"303",-0.158381691985107,0.129026491155471,0.030607915215341,1.88674227424763,-0.00679058974166493,0.0391313569681646,1.06280709059492,-0.0167026851363401,0.0691514259755476,-0.0783374174098121,0.0331359306239002,0.171816868333993,0.21699164275734,0.234813860285138,0.0528691215960355,1.97980022031858,1.07275861037335,0.0114001966515813,0.0276794260355451,0.0236237672836535,0.00095138873235059,-0.00809224467824869,0.0284670055525692,-0.00208926045004814,0.0333652202649023,0.00347916650589284,1.93409006010913,-0.260735982819024,-0.105099296130231,0.0238607474391968,-0.0416986194954779,-1.22549593108777,-1.79551265383752,0.20508148563358,-0.0149112972874111,0.254587808150762,0.217421570731665,-0.633706721879356,-1.53732113427524,-0.354924493853989,-0.4388877086726,-0.596632815398531,-0.476564874056966,0.115912145124433,0.421781077567433,-0.129291692419301,0.0981678624705259,-0.163932128277738,0.0907105876595465,-0.0403656461049351,-0.0544263340925254,-0.000174918253743767,1.90290786718373,1.5478439721216,-1.06685937515871,0.41227966811022,1.38632242177018,-0.231603571683067,-0.778760682758837,-0.765731136792557,0.751185880893814,0.721759511193452,-0.139105624628395,8.35898353227395,2.8911906772598,5443332.50391661
"304",-0.158377203453407,0.128071324457034,0.0302465814975382,1.8870298293964,-0.00313592489064469,0.0389009291402624,1.06296830967582,-0.0167682842787754,0.0691064218280422,-0.0787678192901498,0.03259402613412,0.171400197126127,0.217565806599068,0.235198822121237,0.0531336929087123,1.98040922275276,1.07271656839356,0.0114272670456476,0.0277232150687087,0.0235181169913421,-0.000541239406488537,-0.00758610409945482,0.0281061972394811,-0.00169579935932143,0.0281875372031959,0.00333532544788897,1.93321740369996,-0.260879516092091,-0.105120287240322,0.0234175667764718,-0.0399777055023303,-1.22539606914613,-1.79524187188031,0.205219240859276,-0.0147790233255776,0.254373465065514,0.216514332427438,-0.63351962919852,-1.53712922020377,-0.354638811604383,-0.439078154153547,-0.59553794823939,-0.476471887641539,0.115663439337961,0.42164451484322,-0.129117576145887,0.0978485445657518,-0.164034471138557,0.0905779404851584,-0.0402331925467888,-0.0543765575330014,-0.000209232065210113,1.90694789982415,1.54750035442592,-1.06660989285729,0.412141179728642,1.38578166943156,-0.231344090001222,-0.778798554454828,-0.765574458806622,0.75099298717371,0.721662872477725,-0.139448987228982,8.3415214382795,2.88816921912126,5443661.73500394
"305",-0.158318925650307,0.129293711500796,0.0302668738529343,1.88700886049428,-0.00296186237961392,0.0389458520904158,1.06292907145107,-0.0167600389810645,0.0691162143659747,-0.0786990943555488,0.033020905804107,0.170866703097363,0.217043483084122,0.235652450585834,0.0531658581783423,1.980603565101,1.07277181809473,0.0113836435916463,0.0278044330723346,0.0236281056403493,-0.000846262578729448,-0.00791223202255737,0.0290562453461641,-0.00195919288031132,0.0282399515174232,0.00337140070723495,1.9336835280624,-0.260701195139638,-0.105221526667879,0.0234643561105586,-0.0410170977810342,-1.22548892430165,-1.7950321906645,0.20519186636987,-0.0146383545385943,0.254298896321754,0.215380638130962,-0.633375750646828,-1.53708325740597,-0.354479783146301,-0.439161857894541,-0.594836629349293,-0.476466866787205,0.115478390233888,0.421805825164854,-0.128813335570802,0.0974288040653243,-0.16418058145214,0.0903399995712969,-0.0402257226110407,-0.0544540411351517,-9.89963447920299e-05,1.90906063445684,1.54727204650438,-1.0664511800345,0.412087251390948,1.38560642324458,-0.231087131541557,-0.778744879021132,-0.765535323461549,0.750960494826972,0.721624613244061,-0.139266564229281,8.2868556591156,2.87868992062633,5443837.72657043
"306",-0.158686594402549,0.120891418688284,0.0234513372852984,1.89193069245954,-0.0024398232565429,0.0301225470762066,1.06384819392323,-0.0170010903905815,0.0621450961091395,-0.0744039310461475,0.0327423353826936,0.164708034889414,0.197007238765458,0.232285099624794,0.0415199671903079,2.02950659148266,1.07371462288033,0.0110235846905072,0.0287601293141773,0.0187679572404422,0.00147668777568165,-0.00747415170925799,0.0271921301516642,0.0243997022402868,0.0292827083052624,0.00250888596231724,1.92390124403579,-0.252635521232345,-0.103834081056771,0.0179727173058545,-0.0248607953246773,-1.21967338430369,-1.75729572210682,0.204955495790159,-0.00146289487717735,0.234661070648955,0.167452485396374,-0.622781086260487,-1.52125812820536,-0.333450939710963,-0.435572427890445,-0.459712906393341,-0.477784024725643,0.0800831595566432,0.420661782041691,-0.094309682370134,0.099109553988015,-0.165130208830964,0.0786932655255557,-0.0301816209005973,-0.0530496120201271,0.000718727906146506,2.29723424939565,1.51114010577025,-1.04537837265029,0.404425848200759,1.35610892189009,-0.185251643418244,-0.779493490669114,-0.752467151580437,0.751436129673845,0.719089792777411,-0.103434441196244,7.96973693011863,2.8230722502477,5473361.95282212
"307",-0.158541267981664,0.125873499554218,0.0236378985854689,1.89190096622872,-0.00292236902755805,0.0284782437499644,1.06404541010941,-0.017181761553837,0.0616696920387323,-0.0743287868413364,0.0340937941267655,0.163734569028061,0.196173279756883,0.229813220946727,0.0413495468742431,2.03057032148486,1.07395508724586,0.0107936795462602,0.0286745391768627,0.0187012925637551,0.000907121793465178,-0.00934142924380375,0.0256756531259194,0.0256580597617323,0.030388675561233,0.00249803614630056,1.92371455709703,-0.252477084497999,-0.104444282467721,0.0184513690933291,-0.0219005204830528,-1.21943963196868,-1.75578275378039,0.204764407331883,-0.00130231400388727,0.234921388722807,0.166818269618086,-0.622572862165985,-1.52085315516841,-0.33265443026246,-0.43547176244907,-0.456417674227441,-0.47782188099105,0.0784962100280165,0.420574799758626,-0.0929540535893234,0.0992651132806911,-0.16529652046413,0.0784436658831549,-0.0298447848960498,-0.0531234939043055,0.00091187380642381,2.30816041997598,1.50977006913877,-1.04434897405989,0.404215419362204,1.35552389287933,-0.183730081890271,-0.779387726599867,-0.751995118632579,0.751085456251364,0.719145372271586,-0.103836334431669,8.01091189942671,2.83035543694192,5474110.78280912
"308",-0.158396635070249,0.122754860480829,0.0225604379426819,1.89196031782234,0.00164514940209881,0.0295053041615563,1.06369982411883,-0.0162981519999113,0.0609843861752701,-0.0733443138914026,0.0329621907342542,0.162795999174466,0.194184635907913,0.230799059021409,0.0404992479289139,2.03520435579835,1.07462872773527,0.0102691012675792,0.0282961239308815,0.0185338299215404,0.000176894254783452,-0.00796430543661767,0.0279878985517845,0.0270893603168878,0.0287828542664687,0.00248745874749056,1.92535302033848,-0.251852914992551,-0.103464157487274,0.0186550242290689,-0.0213540425147007,-1.21883081265525,-1.7517648786558,0.204806263182506,-0.000381055472424078,0.232960609489464,0.161611308131096,-0.621793679478148,-1.51949864553089,-0.330413133373703,-0.435329274411554,-0.446852692221844,-0.477474192749641,0.0767669088643263,0.420849066780504,-0.0920440823959282,0.0966445153024288,-0.16512538927993,0.0764642222289045,-0.0291909635457564,-0.053190259467805,0.000468101010804609,2.33785091226318,1.50603847611231,-1.04297554439565,0.403011991731118,1.3528016507185,-0.180022809567687,-0.779195981199922,-0.751255365456299,0.751174748557862,0.7192698758436,-0.103425984994191,7.99526972461987,2.82759079865172,5476175.24129352
"309",-0.158398384604808,0.122599356733525,0.0224472510812914,1.89213118625579,-0.000533679055600718,0.0298235813224965,1.0637853056533,-0.0161869842750917,0.0610569201894106,-0.0733083508682647,0.0331664450455506,0.162878909018693,0.194736250204076,0.232881645853055,0.0406290411063435,2.03551904081822,1.07453284374469,0.010341004849087,0.0283119632180536,0.0183137036605755,0.000641788632951851,-0.0085097317855406,0.0269220663308949,0.0272002009694941,0.026218094181951,0.00243169041277519,1.92542497556497,-0.251296455508769,-0.103032786489217,0.0185943888570158,-0.0211212324055137,-1.21872771496538,-1.75160498821053,0.204908715471957,-0.000280179601811108,0.232770418010654,0.160596204464177,-0.621667324238443,-1.51938671774967,-0.330055101554533,-0.435269777330401,-0.445948037919231,-0.477511315065439,0.0765680651196661,0.420677190124541,-0.0919486802004136,0.0966967045141615,-0.16514635698167,0.0767335854514057,-0.0291965290409066,-0.0531001762568494,0.000413238537054846,2.34051464239511,1.50583883753074,-1.04284975082611,0.402852083048996,1.3526160557685,-0.17958247105425,-0.779263774446075,-0.751036648029919,0.751178040153991,0.719194574937177,-0.103075619170699,7.98056260060406,2.82498895583754,5476357.75886322
"310",-0.158079811104837,0.126224038141829,0.0229105606161631,1.89270228846016,-0.00106334132231995,0.0284796378548819,1.06413793882349,-0.0163383745598696,0.0612527041016783,-0.0736813588261161,0.0339298090738597,0.162802655685827,0.196008715936302,0.235069866878527,0.0395043110990972,2.03662831548569,1.07447926994547,0.0104819767214334,0.0282094614827735,0.0185011567928164,0.00146238278944715,-0.00972306635358652,0.0258274913772522,0.0275691676698989,0.0237212139108576,0.00228668764360462,1.92632180899725,-0.251934181472038,-0.103319274225968,0.0188318166173032,-0.020682502492946,-1.21897210637707,-1.75001339316026,0.204871048108735,-0.00015007931443078,0.232164275365064,0.16207303965857,-0.621312894412312,-1.51892366625795,-0.329591738136141,-0.434820161225667,-0.443200646846319,-0.477470997952746,0.0761282973235665,0.42069710926795,-0.0908290282563579,0.0959150450062782,-0.165356502236052,0.0762379855308074,-0.0291710712991448,-0.053320760306002,0.000483478332022031,2.35022097044425,1.50465020972525,-1.04238844537546,0.402420947221899,1.35200059407089,-0.178220719222444,-0.779052582861078,-0.750357143705588,0.751111228868268,0.718841257294875,-0.100963874000436,7.9607424712174,2.82147877383783,5477013.03864005
