"","raceUGPA","race0","sexrace","sexUGPA","sex0","LSATrace","LSATsex","LSATUGPA","LSATfirst_pf","UGPA0","first_pfrace","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"224",0.0234174011321779,1.1871965145036,0.0284898146800004,-0.143854851693129,-0.759472149376172,0.013549124396761,0.0272087871091866,0.0147665519854851,0.177497827919793,2.49514720446088,0.144373496875439,0.136279253005344,-4.12441425470671,0.151860995573682,0.389693463601434,102661.718779071
"225",0.0234315247046191,1.18896000217743,0.0281814304341658,-0.13018761181541,-0.864953471016033,0.0137335080102019,0.0301070516323999,0.0152850544781121,0.160622299984403,2.46205479255291,0.137789947640612,0.142574085360908,-3.55554851200151,0.154539053802434,0.393114555571825,102661.093097678
"226",0.0258806689240846,1.204998349357,0.010349720339902,-0.128217028047792,-0.788174557524731,0.0128605036224991,0.0280178747990558,0.0153778229869966,0.178692147465417,2.45953733890929,0.165015240011675,0.128095294089507,-4.16415277620633,0.154601545043916,0.393194029766369,102652.67175014
"227",0.0246256675649268,1.17898074023532,0.0104531386993782,-0.142794540319677,-0.774745191413704,0.0135523420582352,0.0281114752833304,0.0156508900267215,0.180372424539078,2.45920855176663,0.163838277626433,0.133348291751617,-4.19477415073048,0.152001485170262,0.389873678478379,102653.722575847
"228",0.0249604946556484,1.19290280950791,0.0130111279111984,-0.138922112260142,-0.726646466106564,0.0132080903048513,0.0270039120219085,0.0147465026160407,0.166161353226231,2.49677687438422,0.162993327251932,0.124558111623591,-3.71296864075425,0.15364042935264,0.391969934245779,102657.348559743
"229",0.0243028478533587,1.21760952613672,0.0364521696050541,-0.138584206400763,-0.932681563064549,0.0124059220121754,0.0321783690934946,0.0143844707175079,0.174017805824369,2.48883792757431,0.148807578056267,0.151017851784718,-3.97289031534557,0.153616483960726,0.391939388121079,102659.937747553
"230",0.0251429832119415,1.22458278713894,0.0378328335724983,-0.129804056244178,-0.711624281984968,0.0125595807759385,0.0260947522738938,0.0144585410473669,0.16746349540927,2.49718849586124,0.141508318378882,0.129155483324036,-3.75042641610187,0.152024907490904,0.389903715666963,102660.375080666
"231",0.0233339985321731,1.21223195176667,0.0294710354549288,-0.14075647656988,-0.645279172145171,0.0122272801219607,0.0244309837682753,0.0152775629544152,0.173772756594712,2.46862176215727,0.160454519312087,0.142183549804936,-3.99357293639781,0.151389867460004,0.389088508517026,102653.699145362
"232",0.0259847354164528,1.15643631387979,0.0383658423653594,-0.13173277663298,-0.957114526193727,0.0140551043502493,0.0327063536886505,0.0147646243874487,0.16735665208699,2.4686632073867,0.159194403679161,0.138056839474608,-3.78298942146199,0.151453747266438,0.389170588902139,102657.213093607
"233",0.0213139786863934,1.19708599973927,0.0262967674105755,-0.139508189483872,-1.01507729874427,0.0134466507140739,0.0342611181741985,0.0152699906262753,0.174762588502266,2.48413987346318,0.146105861334705,0.141210623121195,-4.0273728141342,0.15400698465263,0.392437236577557,102658.55640528
"234",0.0254615505218448,1.20165912037369,0.0284033045935012,-0.136884647542658,-1.00682412538545,0.0133041572721689,0.034210405098904,0.0140763978199657,0.172737531107829,2.49527797921111,0.146311834071245,0.143860308834161,-3.96781927199334,0.153429380349019,0.3917006259237,102658.497470305
"235",0.0251589585684191,1.18452560112544,0.0244688939851243,-0.133081764618803,-0.884055151622158,0.0136508546985094,0.0308455976549487,0.014436876985929,0.167056070505468,2.50371226432726,0.153580822092544,0.132122351999247,-3.73722183830175,0.152804927651596,0.390902708677743,102656.161906528
"236",0.0251459413257432,1.2003012734175,0.0349634073396123,-0.139351278604302,-0.8848350308719,0.0132011867852554,0.0310908532687927,0.0158470692477617,0.174048414834959,2.45546725848381,0.14892836952611,0.125477609079334,-4.01811370368025,0.153425751789751,0.391695994094593,102659.567190668
"237",0.0242326618533192,1.18163310571968,0.0304292751376854,-0.135527860735217,-0.73196605178717,0.0136054261337458,0.0271359928818778,0.0152044093335208,0.166102198874736,2.4692007937621,0.155223221710977,0.139596230371168,-3.7509871039524,0.152518510982278,0.390536183960306,102661.349138643
"238",0.02417186727458,1.18738988848895,0.029032583227523,-0.134951523240484,-0.741638811208402,0.0136768159742199,0.0273599378519704,0.0143353102337723,0.172620654196848,2.49607651970255,0.136596757994885,0.140010005894914,-3.90814998563799,0.153169846946173,0.3913691951932,102661.457491647
"239",0.0239140009047701,1.17155378049781,0.038631771714862,-0.139230855765052,-0.783089302960325,0.0138024778720786,0.0283364859176535,0.0157781521120104,0.172047007106447,2.45622773432446,0.147928724270676,0.136234303929336,-3.8881077382422,0.151962103823557,0.389823169941907,102661.999106453
"240",0.0265181823587827,1.18285981760499,0.0349431666267192,-0.136222755507922,-0.808505791805916,0.0134460211089444,0.0287769434936292,0.0140174602030127,0.175127777469095,2.49469647072673,0.145912424385116,0.139979264683379,-4.0013685142197,0.152095020142308,0.389993615514803,102661.210114774
"241",0.0263227704590416,1.1723957665878,0.0341242990818691,-0.13203252356417,-0.865734314355453,0.0136369693117129,0.0298294783209376,0.0144307743124492,0.164121502758579,2.48013461662194,0.149918446736292,0.144774897666229,-3.68489870516175,0.153475142322685,0.391759036044716,102660.171886532
"242",0.0242387317331474,1.19353345329635,0.0251916079853397,-0.137473885237068,-0.699697392662987,0.0134818260696189,0.0262347298385899,0.0146631489301871,0.175250324110821,2.48862504022803,0.148746101031102,0.134670315848941,-4.04065299386705,0.151221362468942,0.388871910105297,102659.669871757
"243",0.0257055266373689,1.21902624081919,0.0384108771266485,-0.138833856717603,-0.760986946975854,0.0129118486261299,0.027298624188207,0.0147490975817444,0.16494284762955,2.4810698880969,0.132510618301242,0.128183293919023,-3.685386684232,0.154079550922934,0.392529681582087,102658.438903766
"244",0.0234787103709665,1.17100719860547,0.0360956689024014,-0.138573743860955,-0.757330363859039,0.0140475343331934,0.027284595148462,0.0153783764159067,0.163073823810613,2.47135227010065,0.136936980233723,0.135355394803587,-3.62348173904893,0.152621815334848,0.390668421215291,102663.128039205
"245",0.0294876356741037,1.19205222137963,0.0353366823861552,-0.134263986696472,-0.766665408554915,0.0135193297662896,0.0277463195384166,0.0147213432214279,0.167973915603422,2.46856998591821,0.139244049681276,0.121286711147099,-3.81367633285715,0.153827179294711,0.392208081628504,102659.435851047
