"","racesex","raceLSAT","raceUGPA","racefirst_pf","sexLSAT","sexUGPA","sex0","LSATUGPA","LSAT0","UGPA0","first_pfLSAT","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"85",0.0741493348576339,0.763521440888944,0.0354986439082045,0.308299319178565,0.5444926108719,-0.0931562306876135,-0.201640998515138,0.0169359279664133,27.7654242875223,2.23908076277637,4.403396635675,0.205484488576675,0.255563063696314,12.8156105744237,3.57988974333341,-99662.6400127013
"86",0.0955124919798091,0.756913409447689,0.024902983630255,0.284425524329051,0.470979726567055,-0.16930522438199,-0.343465593837682,0.0189757167785254,27.8476282841259,2.37098948815309,4.39984880030828,0.0991292255787894,0.389694701460795,12.7142514482841,3.56570490201925,-99659.3091500052
"87",0.0907415743050753,0.796057111137537,0.0202732263474844,0.289519638134977,0.709895573294945,-0.104900025935193,-0.297589820832296,0.0134355361892308,27.7253003850852,2.49269234005924,4.12123292631432,0.159275026589217,0.355282999146265,12.64460001063,3.55592463511672,-99660.9236480719
"88",0.0837044011609177,0.771283338966102,0.0302354547171852,0.284300989413175,0.506677617667829,-0.148791231988446,-0.2678154454804,0.0196941250054965,27.758547902679,2.3131382911535,4.41142435962518,0.115957303693505,0.416377094628243,12.7672710101373,3.57313182098523,-99659.0940597043
"89",0.0815990146420581,0.761100761701257,0.000245034040828964,0.287327717073912,0.627208169743255,-0.144942148587796,-0.262246517922603,0.0153774525823751,27.7774143599342,2.72781987399106,4.32071334078703,-0.00914563359204826,0.394227752011246,12.6926213404844,3.56267053493364,-99659.8879918126
"90",0.0730559184942878,0.774133782560252,0.025044258745255,0.294038168488893,0.593780636545847,-0.12747435447309,-0.202418330171167,0.00960110120235277,27.7264703567378,2.66396556718783,4.34079867421439,0.126721522557364,0.32544693251617,12.8166757083724,3.58003850654883,-99659.019703707
"91",0.105951892878983,0.783970663735089,0.0196031776118913,0.284499398611198,0.591152037138401,-0.128945705248002,-0.407639817089891,0.0233204327590116,27.8234010198813,2.20258892835991,4.15931948607572,0.103456204067411,0.383098011828557,12.6557053022701,3.55748581195626,-99657.7745781976
"92",0.0997474472612428,0.791918905696358,0.0336193267813857,0.30668292491365,0.610780732937594,-0.107793074200109,-0.388013551021857,0.0159747288619681,27.7383517229908,2.51231806067822,4.16835440528493,-0.00080667514884059,0.278142742267925,12.682818377026,3.56129448052615,-99659.5875096432
"93",0.0946225600391392,0.741411155846693,0.0178500803030227,0.283933301243524,0.595581763541928,-0.170151477670199,-0.315499045021724,0.0165903889164536,27.9980653046851,2.51863399028731,4.28371387302134,0.117658252812029,0.416504292174058,12.7939832676821,3.57686780125882,-99660.3032519024
"94",0.0918710076788648,0.770948280884904,0.028496200186342,0.278246918029145,0.592605998549816,-0.124037521347507,-0.299477186157923,0.0255623742859192,27.8549445088459,2.12298725736312,4.22484046216985,0.0749121837776106,0.435908036752054,12.6555440545505,3.55746314872698,-99657.5648763764
"95",0.0911968707920951,0.766295946792861,0.0313556744971836,0.276176965516377,0.58048645932857,-0.0954383910133814,-0.310756342796953,0.0276452729544046,27.8180957104609,1.99624012177023,4.28069810668154,0.0713038414923913,0.456802943783922,12.6790658067569,3.56076758673702,-99657.8329687823
"96",0.0863242296426444,0.766687312983767,0.0267532891082472,0.28648161104696,0.565003744375709,-0.175779754520204,-0.297077789543449,0.014191505165809,27.9454050890258,2.48602000200605,4.18643325219628,0.173391570181722,0.395073146823072,12.7396163666696,3.56925991862033,-99655.2661669126
"97",0.0908434300230603,0.771536321980273,0.0261680251037818,0.302274151173254,0.555143402582569,-0.0809738297159709,-0.2992426999709,0.0159214153909263,27.9171078780471,2.41044705378871,4.17714754724785,0.12692672981914,0.300312192167075,12.5557648477693,3.5434114702881,-99658.1563277433
"98",0.09471678388511,0.773081413067944,0.0165332128071516,0.298908388297435,0.562891451143229,-0.0954971187655874,-0.324916513164846,0.014451327091375,27.7939930866367,2.63799866762054,4.2963267779351,0.03259692609732,0.305222489709665,12.6268420005947,3.55342679685324,-99658.2869148518
"99",0.0893647564653547,0.801545728015474,0.0426994356961187,0.277766801653867,0.619102436875021,-0.119940643622577,-0.279710140625726,0.0113028940241893,27.6065571916124,2.3608206962595,4.26920543321333,0.304307903272212,0.433949423969627,12.8458269221791,3.58410754891354,-99662.5640113516
"100",0.0921432646272016,0.769872348869795,0.00749128320399386,0.292119539888122,0.574276398255159,-0.144576412959811,-0.310649661882959,0.0222521922758403,27.8272151651568,2.47166207751102,4.25104725274822,-0.0558876552302327,0.35357043106485,12.6981297219603,3.56344352024279,-99658.2647526906
"101",0.0819471550159572,0.789484698957318,0.0431486191773018,0.292151220643183,0.57438085081642,-0.111702776793533,-0.278355152260656,0.0109923659396825,27.7821644945686,2.28411234947718,4.17195414666294,0.339222622917859,0.364536027419415,12.7208909834015,3.56663580750846,-99659.8762824751
"102",0.0992059945682904,0.764116422599873,0.00835381122241629,0.270774627915969,0.577056402689042,-0.136071461112432,-0.354669114581177,0.0251637166190092,27.8085045785794,2.32316117850709,4.31691574011117,-0.0374260295159323,0.48705021962577,12.6931565487005,3.56274564748882,-99661.3715913009
"103",0.0857866374673255,0.78837835330002,0.0531207839885341,0.284628963210979,0.577023530954946,-0.13206270428103,-0.272699871956022,0.00721559045994764,27.7832935426226,2.48625833435113,4.1769161790436,0.207603332187279,0.382957783874547,12.7371638574698,3.56891634217865,-99658.3868580944
"104",0.0941379876434948,0.764780463959374,0.0291787112274732,0.288722558923366,0.592141099325173,-0.150976589972505,-0.321783336364914,0.0220749752171823,27.7826175109583,2.27849154885958,4.33982320403271,0.0707603912136313,0.391308651096308,12.7011017685195,3.56386051473953,-99656.1044982364
"105",0.0906521141116831,0.770568723738627,0.0112298229053598,0.295460419163359,0.546217824876708,-0.12670613250531,-0.333858570097649,0.0199645277668796,27.8966070874891,2.24016389195864,4.18710845800341,0.23711622704202,0.344397532973722,12.7490456240944,3.57058057241317,-99657.7897637084
"106",0.0804400663251306,0.787285736483941,0.036158023830885,0.295979384528875,0.64399242108033,-0.136962699007069,-0.274018626990874,0.010321798793032,27.6771287220765,2.6790223741074,4.27017845743926,0.0486775109688583,0.339656450351127,12.6994170673846,3.56362414788437,-99658.7342416822
