"","racesex","raceLSAT","raceUGPA","racefirst_pf","sexLSAT","sexUGPA","sex0","LSATUGPA","LSATfirst_pf","LSAT0","UGPA0","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"212",0.0910534844158443,0.956123889568433,0.0258562443050534,0.153169260139653,0.613753914786332,-0.220796884914698,-0.306895666813166,0.018338689360023,0.138255084992713,30.4333322839233,2.38961300781747,0.109274924374405,-3.68919287625736,13.4687588347529,3.66998076762712,-100472.072628329
"213",0.0845187993784351,0.942531481721827,0.0242212166467895,0.172855419748791,0.663191228983616,-0.0456867876193027,-0.275645418276911,0.0187825425139486,0.151201840807579,30.4672064134696,2.29302797304711,0.154782294554212,-4.22952930179537,13.485253834508,3.67222736694067,-100470.185185781
"214",0.0937063166745624,0.928915641049699,0.0282796690955721,0.143862863496869,0.669366257114427,-0.186870976161679,-0.315210944700252,0.0195373073074158,0.147205902000325,30.5819669653494,2.40277720491253,0.0552456561523979,-3.90429599508813,13.5458962539267,3.68047500384484,-100472.41200345
"215",0.0851315362169431,0.946775198145195,0.0145474948804179,0.166173886477543,0.626752696310521,-0.0993904533430429,-0.253270747782959,0.0175630585219994,0.147994675510978,30.4906005747671,2.33981160766727,0.261473080552005,-4.0721099347498,13.5700119408611,3.68374971202728,-100471.102275399
"216",0.0969628345439932,0.934720487398516,0.0495960213386299,0.165989514386857,0.653251706683001,-0.1693187470375,-0.386640949003065,0.0117675978048435,0.142533998108862,30.5078286383011,2.58338003631886,0.0445217166275019,-3.91064569789907,13.5434044118929,3.68013646647688,-100474.541613013
"217",0.0814207487779059,0.958381561703433,0.0285660470310142,0.162341108168947,0.637192265915801,-0.0869652169257832,-0.227766645190879,0.0176340049765524,0.148842824385173,30.3655702093661,2.25936964168157,0.272401369533152,-4.10219030526375,13.4958160769002,3.67366521023625,-100474.891349592
"218",0.0875397475560231,0.961130377143753,0.0376748572441795,0.161338445679592,0.657071117366811,-0.0934250722679324,-0.309680353393469,0.0189366588451416,0.146471536258082,30.3437610752965,2.17885248345029,0.181487227626596,-3.99171612751036,13.5281022170039,3.67805685342192,-100468.329414211
"219",0.0756598151279981,0.929317862585,0.0485799969671197,0.173062000702941,0.678660173085738,-0.146410824739344,-0.202877638138595,0.00757314941328772,0.149203214056558,30.5714510358023,2.60087217178904,0.133409811492706,-4.12702130406226,13.5205835859748,3.67703461854451,-100474.10815648
"220",0.0839726355118064,0.964907126346867,0.0337932084165173,0.163460040021668,0.571130244358786,-0.172006952136896,-0.291931481133957,0.0254957590605136,0.14719821617405,30.390971709301,2.16767620498726,0.0243073916221433,-4.06564978538948,13.5529712701037,3.68143603368355,-100472.167353587
"221",0.081220531905581,0.954229169626776,0.0147541929648443,0.148118837481854,0.650077981377237,-0.111996586905946,-0.273661338101554,0.0160100535420869,0.148201955246115,30.4155080702738,2.38835206680624,0.200621049893006,-4.00981654926893,13.7902351684476,3.71352058947403,-100475.204260353
"222",0.0892999706226121,0.954839224798719,0.0324290600222546,0.143404229289974,0.65477955670587,-0.137848740517845,-0.290245928006567,0.0143270725034546,0.14904736646519,30.3923034464758,2.4815698143301,0.143962437717599,-3.9995282179082,13.5476864509553,3.68071819771024,-100470.36650572
"223",0.0877083912617121,0.957801465397858,0.0231764798558121,0.14538004928315,0.604890849929217,-0.153891929545565,-0.313898327744052,0.0173464548536956,0.15017556251829,30.4230718768403,2.4375841484426,0.074080066816848,-4.04220603747843,13.5609784787915,3.68252338469038,-100469.773281827
"224",0.0944856295230205,0.946853009006173,0.0284384605238293,0.162469540416283,0.735069972528167,-0.153999874253891,-0.356126081849765,0.0086901303348251,0.148012600314289,30.3884829764291,2.60731549146415,0.192983499756316,-4.06506005459893,13.4926565117778,3.67323515606853,-100471.59667103
"225",0.0908867984783409,0.948967267620509,0.0248078923910938,0.160456524722814,0.767976189629963,-0.143940037224546,-0.304700471461917,0.0102675673762789,0.149617812643581,30.3691419570231,2.66485097919415,0.222702236234258,-4.11341025102169,13.5742893072336,3.68433023862324,-100478.079710328
"226",0.102876049494595,0.978682007224453,0.0190138811934013,0.182243074713387,0.52389929188611,-0.129746670035442,-0.404567630008304,0.0171938787533855,0.136608541523055,30.3315843069175,2.42454926574977,0.088679943197115,-3.79712627666181,13.4298605663469,3.6646774164102,-100477.443309029
"227",0.0695183362620931,0.943473764238166,0.032088389223754,0.143681258898085,0.765432073270587,-0.143232276025111,-0.192459939293188,0.0132905115221594,0.154435831085926,30.3865052594951,2.48679014092795,0.195863374405708,-4.16073874887913,13.2849718121567,3.64485552692514,-100481.521326875
"228",0.0884803214942535,0.950835013551951,0.0231819809529502,0.158860145753951,0.707446321629934,-0.11193721878709,-0.315030880411275,0.018215752033379,0.145487987894277,30.3711116107758,2.40858355632839,0.121361371713586,-3.94999541490991,13.4512897085073,3.66759999298005,-100469.869768188
"229",0.0924607272986121,0.954992276096283,0.0221492681377243,0.164730599734615,0.570895376203852,-0.149467584523669,-0.32373725890748,0.0141463721125128,0.145448743158316,30.4626353866528,2.48118134762828,0.152085845038293,-3.98812077020568,13.4314935324905,3.66490020771242,-100468.784897887
"230",0.0884426361760214,0.956610664475184,0.0074828911477786,0.163371516271048,0.605392395008449,-0.15309442432656,-0.300253220321409,0.0152900621874312,0.150424798355271,30.3874784773668,2.59051100692262,0.108126199986885,-4.14492830127486,13.3673818004268,3.65614302242498,-100470.575690293
"231",0.0898429886774907,0.949325308443437,0.0186830067793654,0.174258820870956,0.651299047455583,-0.189368643421412,-0.310053536110138,0.0174118374594667,0.146847669481583,30.4075268406566,2.54494702339336,0.0255510495590529,-4.07507441592423,13.5531688531314,3.68146286863407,-100469.211118107
"232",0.0833021185431816,0.951440694105171,0.0383165989444815,0.1668716835962,0.607605374653619,-0.0573226081211229,-0.270699399072181,0.0185266846648615,0.143249622805869,30.4642857557827,2.1458390664689,0.223130698548558,-3.88626157742492,13.5198628965669,3.67693661851369,-100470.548795797
"233",0.0964979345947886,0.946326352142474,0.0286645117069155,0.160356857420864,0.700553179162405,-0.19272352218836,-0.349109288569585,0.0142581781945566,0.150431556380066,30.4000212467143,2.57919680777719,0.0331884915930016,-4.09119249312183,13.5390435128074,3.6795439272833,-100471.472938413
