"","raceLSAT","raceUGPA","race0","sexrace","sexLSAT","sexUGPA","LSATUGPA","LSAT0","UGPA0","first_pfrace","first_pfLSAT","first_pfUGPA","sigma_h_Sq","sigma_h","lp__"
"23",0.755202766144893,0.00463539890238449,1.62103441909303,0.030943453625902,0.615364607188908,-0.0802180986236514,0.0177163457994989,27.8671079185116,2.45231316915602,0.215526260778411,4.29207055812444,0.164242284518909,12.7760630683045,3.57436191064986,36764.7543374706
"24",0.799266509847053,0.0461646773262447,1.6155740079211,0.0332764645757681,0.5398070089248,-0.146971681547814,0.0153901212026209,27.6959768268594,2.37495115915591,0.226554222572529,4.19354449296119,0.0988103150184498,12.609972220948,3.55105226953195,36764.1834506002
"25",0.770808387216789,0.0166879863142176,1.61259864557633,0.0486238524929876,0.574736440013868,-0.12072934953682,0.0222857874890783,27.737712851229,2.2531683859868,0.211124414800795,4.37338363993641,0.165183886262023,12.8017530592162,3.57795375308516,36763.2855026668
"26",0.756795509424292,0.0346647975589989,1.62452049447439,0.0301058489685821,0.638979255114063,-0.166827104549943,0.0101855879719392,28.0250840655031,2.65319712522394,0.218411314851952,4.0929316565323,0.125132924745313,12.6157920324366,3.5518716238677,36760.6128196337
"27",0.768475467470871,0.00520914996223303,1.62466512398546,0.0589793926181042,0.550553874204338,-0.129568926038213,0.0275085188491578,27.92677839007,2.29537243497112,0.203403500940866,4.172627954067,-0.0151132315486235,12.6526692754811,3.55705907674881,36755.5183914402
"28",0.759878115667104,0.0343313661664061,1.61049439641496,0.0296033334445834,0.571047839551992,-0.105615571370143,0.0129164951529195,27.8499624899732,2.50410193977827,0.231405765030241,4.301781478698,0.0809334932311469,12.7268217731599,3.56746713694183,36764.7916664287
"29",0.764056786779018,0.0176359924182565,1.61572307420801,0.038441779910446,0.566036899003782,-0.203615581464188,0.0220273397759208,27.829693070522,2.34317329951416,0.221026676030365,4.25631095984061,0.124160272053447,12.7028314014333,3.56410316930266,36765.5148327847
"30",0.777912114707015,-0.00821035510285563,1.62421914432148,0.036141688078861,0.500831006897115,-0.10848602940071,0.0158180328624153,27.8873386236482,2.49046883840716,0.21178199744111,4.24543061795247,0.27878600059982,12.7483341702885,3.57048094383494,36760.8515602592
"31",0.777063589753759,0.0613834021780247,1.60617534090432,0.045023825423634,0.679503588908344,-0.150090362853785,0.0174525766764722,27.6809240233793,2.2753002174999,0.225126481787245,4.25414570882129,-0.0136073147543465,12.733893194039,3.56845809755965,36761.4949523482
"32",0.757459415036335,0.0649314256710218,1.60274709289247,0.0457884675971331,0.654045060792885,-0.198996838620143,0.0145108310585919,27.8351489101819,2.36453768915984,0.228871794250917,4.2808067389827,0.048687640614205,12.7458871430131,3.57013825264697,36762.4694513389
"33",0.758873333934761,0.0721176663127565,1.60862368326811,0.045242332487355,0.67065340941206,-0.22380023268016,0.0147922589653551,27.8181726813501,2.28851072377459,0.22535861211812,4.26207575390098,0.0465706437880814,12.7270064226277,3.56749301647918,36759.6903443992
"34",0.769615060027867,0.0567688037013557,1.61337744944648,0.0393566305877394,0.705816962980356,-0.173426487879772,0.0154831708195115,27.7362674383399,2.39122523704989,0.222619949355381,4.27333508437628,0.0341708673475349,12.7655855225339,3.57289595741801,36763.4018289802
"35",0.780458557037476,-0.00810077154943049,1.615146191626,0.0420780437766049,0.483719141560133,-0.1150162208821,0.0195288816215287,27.8800256217664,2.43977631171316,0.216265411386531,4.17585325082199,0.237904381927649,12.6697006673219,3.55945229878445,36763.2323071415
"36",0.773886455684991,0.0582542133759323,1.61602295897308,0.0451518033885246,0.698569405599207,-0.152148176867885,0.0130166608813467,27.6471482141583,2.39575889761533,0.214657770512365,4.31116040667651,0.0412537474201491,12.799357741864,3.5776190045705,36761.4237555471
"37",0.786009017664905,-0.0027532387974267,1.61844572959545,0.0425750735651921,0.482565977659673,-0.115894335364636,0.0233783810844981,27.85771755518,2.25428626716549,0.213128133736197,4.17123764808828,0.198335227447427,12.5105056173105,3.53701931254418,36761.4677040629
"38",0.760180948399741,0.0548647974519505,1.61321441113757,0.0395808526379852,0.692291322314897,-0.17315855589138,0.00968533758933412,27.7809192058336,2.55132416894023,0.220380947300638,4.2985213460565,0.060741781593694,12.8124471923795,3.57944788932308,36762.9324170227
"39",0.762764404144296,0.049230167677396,1.61463115327265,0.0365868103693013,0.611711247852095,-0.1846908176797,0.0116439092525354,27.7779260864861,2.46309031541773,0.216536355221229,4.35056608516157,0.108585348109875,12.782952616846,3.57532552599703,36763.4635840172
"40",0.785767363246124,0.0167809185809324,1.61565497772882,0.0469374417819641,0.639944091634182,-0.120732816502001,0.0194453649527108,27.6030134981918,2.33804256409938,0.218469295771533,4.34806112908692,0.150564358346717,12.6297677160656,3.55383844822266,36766.0879833881
"41",0.776815078020333,0.013908661983054,1.62038861573633,0.03862710752586,0.576880634855813,-0.13452849215084,0.0190375092288417,27.9691254894795,2.44638055279274,0.211945707273794,4.09824189764947,0.0729000492102168,12.8256945896315,3.58129789177492,36764.2340595944
"42",0.759118146681775,0.0398764756250914,1.62869985463312,0.0370746878366035,0.536051570919224,-0.0838293728497834,0.0115412341579317,27.9584668259934,2.41633453575546,0.209082851244822,4.24903594544519,0.202479887372989,12.7100925978721,3.56512168065441,36765.0564139202
"43",0.771456743222891,0.0292274381831838,1.61492578430067,0.0445282523689979,0.468205452595979,-0.175631192620006,0.0172636323190406,27.8924386697449,2.39363701457435,0.218052784274974,4.2789443625262,0.118758295176698,12.7565620163694,3.57163296215743,36765.0429319806
"44",0.772777901888081,0.0110820031759542,1.61780374948966,0.0328446096565591,0.57090948755861,-0.0835793383176276,0.0158569688732928,27.7977965572611,2.53949369937445,0.222045643858302,4.2215044600308,0.114094536549099,12.7616309371181,3.57234249997366,36765.3084184881
"45",0.748230554374153,0.0156731408671491,1.63129143309866,0.0349842287167973,0.629131781856387,-0.0318409610457411,0.0121285639735036,27.9210242690977,2.54280840434562,0.205368664787774,4.297514638991,0.190533757976758,12.7589779534544,3.57197115798188,36762.8778364136
"46",0.789767951987082,0.0328892441362421,1.60822224338408,0.042237548927707,0.597251010183194,-0.198607204425113,0.0225212429535087,27.6659020408922,2.28801721589731,0.228170453365613,4.25232897487525,0.0717361696936805,12.8288662655355,3.581740675361,36763.1413675481
