solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l2,False,0.101,44.521,True,1.593,104,ovr,,,2019,0,True,,0.016
liblinear,l1,False,0.224,50.664,True,1.151,98,ovr,,,2019,0,True,,-0.02
liblinear,l2,False,0.0001,0.01,False,1.1,97,ovr,,,2019,0,True,,0.006
liblinear,l2,True,0.0001,0.01,False,1.1,96,ovr,,,2019,0,True,,0.006
liblinear,l1,False,0.882,84.584,False,1.158,104,ovr,0.06638474716211817,,2019,0,True,,-0.044
liblinear,l1,False,0.882,84.584,False,1.158,104,ovr,0.9551341031549662,,2019,0,True,,-0.044
liblinear,l1,False,0.882,84.584,False,1.158,104,ovr,0.12024849102382784,,2019,0,True,,-0.044
lbfgs,none,False,0.539,23.583,False,7.222,99,ovr,,,2019,0,True,,0.014
liblinear,l1,False,0.882,83.584,False,1.158,104,ovr,0.849367763561404,,2019,0,True,,-0.044
liblinear,l1,False,0.882,82.584,False,1.158,104,ovr,0.10224739270829919,,2019,0,True,,-0.044
lbfgs,l2,False,0.863,88.364,False,2.164,98,auto,0.14258662232974273,,2019,0,False,,0.014
liblinear,l1,False,0.882,82.584,False,1.158,104,ovr,0.6347329123738458,,2019,0,True,,-0.044
liblinear,l1,False,0.882,82.584,False,7.084466997828412,104,ovr,0.926807710260626,,2019,0,True,,-0.044
liblinear,l1,False,0.882,82.584,True,7.084466997828412,104,ovr,0.020214926413932854,,2019,0,True,,-0.072
liblinear,l1,False,0.882,82.584,True,7.084466997828412,103,ovr,0.965831462417998,,2019,0,False,,-0.072
liblinear,l2,True,0.0001,97.58059914276565,False,1.1,96,ovr,,,2019,0,True,,-0.007
lbfgs,none,False,0.973,18.644,False,3.314,99,ovr,,,2019,0,True,,0.014
liblinear,l1,False,0.872,82.584,True,4.6173942657908755,103,ovr,0.20315973837208479,,2019,0,False,,-0.038
liblinear,l2,True,0.01,37.556553135433774,False,1.1,96,ovr,,,2019,0,False,,-0.007
liblinear,l1,False,0.872,82.584,True,4.6173942657908755,103,ovr,0.9882466104708715,,2019,0,False,,-0.038
