solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
newton-cg,l2,False,0.128,27.466,False,2.297,102,auto,,,2019,0,True,,0.015
lbfgs,l2,False,0.356,24.37858388964373,False,9.107,104,multinomial,,,2019,0,True,,0.015
liblinear,l1,False,0.783,84.935,True,2.949,103,ovr,0.9230824398201768,,2019,0,True,,-0.046
newton-cg,l2,False,0.058,76.355,True,5.229,103,multinomial,,,2019,0,False,,0.022
lbfgs,none,False,0.529,54.986,False,6.706,103,auto,0.5405999249480544,,2019,0,False,,0.015
sag,l2,False,0.941,1.326,True,8.037,97,multinomial,0.3912960502346249,,2019,0,False,,-0.003
lbfgs,none,False,0.66,67.251,True,9.623,101,multinomial,0.8116287085078785,,2019,0,True,,0.02
lbfgs,none,False,0.224,83.209,False,1.62,102,auto,0.8494859651863671,,2019,0,True,,0.015
sag,l2,False,0.941,1.326,True,8.037,98,multinomial,0.8950389674266752,,2019,0,False,,-0.003
saga,l1,False,0.128,96.899,True,3.549,99,ovr,0.9497648732321206,,2019,0,True,,-0.038
saga,elasticnet,False,0.243,46.865,True,9.371,103,multinomial,0.5796950107456059,,2019,0,True,,-0.025
liblinear,l1,False,0.953,1.8111092635935753,False,3.387017254010742,101,ovr,0.4505631066311552,,2019,0,False,,-0.053
liblinear,l1,False,0.916,44.372,False,7.929,99,auto,0.660245378622389,,2019,0,True,,-0.053
lbfgs,l2,False,0.356,24.37858388964373,False,9.007,104,multinomial,,,2019,0,True,,0.015
sag,none,False,0.441,86.85,True,4.09,97,multinomial,0.9169412179474561,,2019,0,False,,-0.003
lbfgs,l2,False,0.93,1.0,True,0.9,99,ovr,,,2019,0,False,,0.022
liblinear,l1,False,0.953,1.8111092635935753,False,3.387017254010742,101,ovr,0.0823729881966474,,2019,0,False,,-0.053
sag,none,False,0.941,1.326,True,8.137,98,multinomial,0.6127831050407122,,2019,0,False,,-0.003
liblinear,l1,False,0.953,1.8111092635935753,False,3.387017254010742,102,ovr,0.11713429320851798,,2019,0,False,,-0.053
liblinear,l2,False,0.428,16.464,True,8.548,99,ovr,0.22046053686782852,,2019,0,False,,-0.005
liblinear,l1,False,0.943,1.8111092635935753,False,3.387017254010742,102,ovr,0.1006075202160962,,2019,0,False,,-0.053
lbfgs,none,False,0.356,24.37858388964373,False,9.007,104,multinomial,,,2019,0,True,,0.015
lbfgs,l2,False,0.356,24.37858388964373,False,9.007,95,multinomial,,,2019,0,True,,0.016
lbfgs,none,False,0.93,1.0,True,0.9,99,ovr,,,2019,0,False,,0.021
liblinear,l1,False,0.943,1.8111092635935753,False,3.387017254010742,102,auto,0.9100160146990397,,2019,0,False,,-0.053
liblinear,l1,False,0.943,1.8111092635935753,False,3.387017254010742,102,auto,0.534197968260724,,2019,0,False,,-0.053
lbfgs,l2,False,0.356,24.37858388964373,True,9.007,95,multinomial,,,2019,0,True,,0.02
liblinear,l1,False,0.943,1.8111092635935753,False,3.387017254010742,103,auto,0.3701399403351875,,2019,0,False,,-0.053
liblinear,l1,False,0.943,1.8111092635935753,False,3.387017254010742,103,auto,0.9805166506472687,,2019,0,True,,-0.053
lbfgs,l2,False,0.427,62.775,True,1.758,96,auto,0.036392037611485795,,2019,0,True,,0.022
sag,l2,False,0.462,8.226,False,8.264,102,multinomial,0.021636509855024078,,2019,0,True,,-0.014
liblinear,l1,False,0.943,1.8111092635935753,False,2.7246720139680876,103,auto,0.12389516442443171,,2019,0,True,,-0.053
lbfgs,none,False,0.537,2.946,True,3.881,101,auto,,,2019,0,True,,0.021
sag,none,False,0.356,24.37858388964373,True,9.007,95,multinomial,,,2019,0,True,,-0.003
liblinear,l1,False,0.943,1.8111092635935753,False,2.7246720139680876,103,ovr,0.3502939673965323,,2019,0,True,,-0.053
sag,none,False,0.18011262694517824,1.326,True,0.9909853258710938,99,auto,0.03937870708469238,,2019,0,False,,-0.034
sag,l2,False,0.356,24.37858388964373,True,9.007,95,multinomial,,,2019,0,True,,-0.003
liblinear,l1,False,0.943,1.8111092635935753,False,2.7246720139680876,103,ovr,0.8383265651934163,,2019,0,True,,-0.053
sag,l2,False,0.356,24.37858388964373,True,9.007,95,multinomial,,,2019,0,False,,-0.003
liblinear,l1,False,0.953,1.8111092635935753,False,2.7246720139680876,103,ovr,0.16942460609746768,,2019,0,True,,-0.053
sag,l2,False,0.18011262694517824,1.326,True,0.9909853258710938,99,auto,0.6726405635730526,,2019,0,False,,-0.034
sag,l2,False,0.18011262694517824,1.326,True,0.9909853258710938,99,multinomial,0.05805094382649867,,2019,0,False,,0.005
liblinear,l1,False,0.953,1.8111092635935753,False,2.7246720139680876,103,ovr,0.8454245937016164,,2019,0,True,,-0.053
sag,none,False,0.18011262694517824,1.326,True,0.9909853258710938,99,multinomial,0.342312541078584,,2019,0,False,,0.005
sag,none,False,0.18011262694517824,1.326,True,0.9909853258710938,99,multinomial,0.44231403369907896,,2019,0,False,,0.005
liblinear,l1,False,0.953,1.8111092635935753,False,2.7246720139680876,103,ovr,0.47162541509628797,,2019,0,False,,-0.053
sag,l2,False,0.5169249265007486,1.326,True,0.9909853258710938,99,multinomial,0.40990539565755457,,2019,0,False,,-0.003
