"","racesex","raceUGPA","racefirst_pf","race0","sexUGPA","sex0","LSATrace","LSATsex","LSATUGPA","LSATfirst_pf","UGPA0","first_pfUGPA","first_pf0","sigma_h_Sq","sigma_h","lp__"
"17",0.0693750315297341,0.0257435631258972,0.152184522001484,1.23447227939141,-0.139078545872323,-1.06327820469646,0.0162627974053185,0.0238892098351167,0.015046185418112,0.150104167784766,2.46359880184506,0.134596431737427,-4.06071790600988,0.15503259033076,0.393741781286619,102670.513284361
"18",0.0670384105860023,0.0261579720513741,0.172471686412449,1.25408097397539,-0.139521049042968,-0.938894936968184,0.015679094345293,0.0208936313591252,0.0141989960417936,0.147780718555421,2.50308622369382,0.130762857309855,-4.10904156328206,0.154935130721206,0.393618001012664,102672.604846931
"19",0.0676657817966265,0.0260200356951627,0.175360791281997,1.25355163409471,-0.132727046642871,-0.934249895888913,0.0156737267490543,0.0208957443925818,0.0161648738879324,0.148388005555585,2.42642543838122,0.133722535261166,-4.11147234886751,0.15500575879893,0.393707707314615,102670.113184509
"20",0.0676600690632596,0.0255285923007686,0.172172568716471,1.25792200681472,-0.145015987726009,-0.928094176173232,0.0156627581135296,0.0212812113403138,0.0148615699115957,0.14803670362119,2.47491267300289,0.1451823187158,-4.10891260057428,0.154532537433935,0.393106267355196,102670.762527412
"21",0.061948276782984,0.0256039405118828,0.178554199377316,1.26561413018238,-0.128658575933676,-1.06875736160672,0.0154826598544248,0.0247692221065405,0.0159665786236626,0.136343127914618,2.43941775151748,0.128166636077336,-3.75152377623573,0.153290946181855,0.391523876898785,102667.960337508
"22",0.0623952759059141,0.0221892536091012,0.177376625405176,1.27035332066358,-0.144177391048559,-1.05989443785581,0.0153864669790003,0.0253744983570038,0.0146321079925798,0.137413675013334,2.50004676116412,0.139122307825529,-3.74753648658831,0.151864521815975,0.389697987954743,102663.380725907
"23",0.0619938724627293,0.0241926122592427,0.175026627993108,1.27630457741909,-0.127237325282976,-1.07412831749406,0.0153152195597095,0.024969054408662,0.0157500486073894,0.136668903794709,2.44377274746636,0.134827835806621,-3.75686670532962,0.155465035579065,0.394290547159154,102663.412048181
"24",0.0665610723797974,0.0239297692328828,0.163929884576011,1.22515653824448,-0.132396179617466,-1.04042497552863,0.0165660434103667,0.0237552969140734,0.0151621866043141,0.139273898695326,2.47842331385719,0.125994500326872,-3.7917361904821,0.15427436194633,0.392777751338247,102671.118894305
"25",0.0671671900526375,0.0226296292195576,0.167114025568827,1.22492563354524,-0.135826870881296,-1.02645938033009,0.016495740102086,0.0235032850997332,0.0162382082807131,0.13975691407511,2.44521765124209,0.140135592907105,-3.79082547813587,0.153235417950045,0.391452957518583,102669.413281837
"26",0.0704937853670955,0.0263384895268502,0.157961321975481,1.25564566178967,-0.142997779778641,-1.01962973649821,0.0156390441998733,0.0223885720149967,0.0145243064615218,0.153999716142164,2.48781374137437,0.136785977257903,-4.24756766335115,0.153095792790445,0.391274574679272,102672.380305505
"27",0.0833465825329475,0.0244440994956898,0.162163656676274,1.24649846401406,-0.139974558364913,-0.935982246067749,0.0159336515473354,0.0184670684842214,0.0157213096756275,0.146067770442084,2.4467436107627,0.144478707765296,-3.99510323574104,0.15376040011597,0.392122940053205,102672.025435604
"28",0.0835658056378413,0.0257619832006184,0.159015076370237,1.24583652277293,-0.131442451491846,-0.949539296981886,0.0158199801844356,0.0178552277585581,0.0161566550928348,0.146746416905113,2.42330738581219,0.132779204494451,-4.01029878272334,0.152246216205729,0.390187411644365,102667.100769361
"29",0.0635165485393638,0.0230504976229533,0.165205626659772,1.24890009933723,-0.126165847770225,-0.921374637270351,0.0157343276206808,0.0208186407368318,0.0164043366248852,0.142101252435898,2.43601908118107,0.130604621760349,-3.90846292409885,0.152837697822222,0.390944622449551,102667.76378925
"30",0.0620529857451398,0.0272512454356212,0.151937376238023,1.24859207292043,-0.123729906579635,-0.897993464072879,0.0158800484354742,0.0205032604877881,0.0155006093625149,0.145167162941299,2.42795362025691,0.141095660209434,-3.91303428027238,0.153262211207449,0.391487178854492,102668.342554704
"31",0.0579333056474907,0.021914136783129,0.170122797502866,1.25991340091818,-0.136819072211083,-0.979644585175174,0.0155786494776172,0.0234185054439192,0.0162145430645552,0.142322981821806,2.45890866585084,0.125110972992596,-3.90786050858494,0.153487474954913,0.391774775802263,102671.642936956
"32",0.0588528414069207,0.02715351999607,0.160293212487614,1.22548393970529,-0.138911254702549,-0.937027093446501,0.0164838022670966,0.0222454241019952,0.0154498496671487,0.146688873404357,2.43866778737948,0.143559235867494,-3.98546888219093,0.152709046244907,0.390780048422264,102671.85141751
"33",0.0587737371202033,0.0239625662625569,0.167477169248493,1.22231819709543,-0.136002419063522,-0.93230877035828,0.0165232445985807,0.0224643135840513,0.0169986128845563,0.147169561125179,2.41349603816934,0.129440005748388,-3.98845892840137,0.155607585553218,0.39447127341952,102662.807287897
"34",0.0600178791516488,0.0261729263761574,0.156123721386,1.24787239680831,-0.13739017612612,-0.970938126680796,0.0158879811048523,0.0225258409135143,0.0136042201628033,0.145292503828666,2.52620213891169,0.129105252103584,-3.9914588835373,0.155999569184279,0.394967807782203,102663.422680405
"35",0.0613765177569989,0.0247339205202571,0.164366086770621,1.24280204323735,-0.137028704421898,-0.976431521478437,0.0159378874781631,0.0227634315673842,0.0154351759299384,0.147279159250613,2.45500586864328,0.138486058826662,-3.98269550023783,0.149925113380979,0.38720164434178,102669.305850019
"36",0.0612709896060101,0.0243423387569763,0.166663424979319,1.24196023302765,-0.130085278432052,-0.967839588869999,0.0161274364165062,0.0228535994725572,0.0157825871116356,0.14774765352503,2.45049829176817,0.128521824164028,-3.98138328084488,0.154539110599689,0.3931146278119,102665.781500192
"37",0.0609908457248511,0.0263830630214952,0.154625345006567,1.24987231741548,-0.142679905180222,-0.957781913118318,0.0159074945794565,0.0233359051679133,0.0145431874032998,0.147552246421647,2.48072799496598,0.138638621639161,-3.98595322353887,0.152157992235412,0.390074341934216,102670.05248284
"38",0.0603368420355024,0.0263671934850928,0.150240555823301,1.24924455896967,-0.134178946687825,-0.974459007215791,0.0157473151998325,0.0231902002586293,0.0148179492268816,0.147606790045744,2.47918703098945,0.126150441450545,-3.98737623412002,0.151060475502424,0.388664991351709,102672.053994139
