"","agem","ageo","agey","age0","we","wm","wo","wr","wrace","whr","w0","eo","er","ehr","ey","e0","m0","o0","rage","rm","ro","rrace","rhr","ry","r0","racem","raceo","race0","genderage","genderw","genderm","gendero","genderr","genderrace","genderhr","gendery","hrm","hry","hr0","ne","nm","nrace","ym","yo","yrace","y0","sigma_h_Sq","sigma_h","lp__"
"233",-0.0139673160092298,-0.0975067663498692,-1.80753675045269,-0.585933153288719,0.0937755202515406,0.0430438406930741,0.151492545164226,-0.615201524799828,0.0975860453472252,-0.65382639729264,1.452217210542,-0.0530703945883644,0.36012286479969,0.123700397063832,0.0835839067443146,-0.353806644986513,-1.7601279920764,0.643072898774901,0.149813640303969,-0.0326252798174736,0.225459657614139,0.00771150475496156,0.022711805545315,-1.74033468708656,-1.27140454382886,0.676697465469248,-0.037445920529869,-1.17120791148185,0.402320982929954,-1.85483078538688,-0.256669116685771,0.734350018914478,-0.762410667397216,-0.632413419128644,0.0899751464928087,0.867198643468259,-0.247357456191449,-0.157018593493766,0.892698285446124,0.0594312712266252,0.00925696179341415,0.0487433239930454,-1.29117563800178,1.8097521442798,1.53167873690468,0.940422323857493,2.25853803623053,1.50284331725916,438720.891873053
"234",-0.0139493488998179,-0.0964253724128464,-1.80752055812331,-0.585847938653363,0.093350603055087,0.0431758615637809,0.151747235884622,-0.6148099159399,0.0975611632494872,-0.653773215615583,1.45226179482486,-0.0533871896191423,0.360028566448907,0.123701992210981,0.0836062924435918,-0.353824795802667,-1.7600912426599,0.643093855084974,0.149883212407996,-0.0325637422698959,0.225256734611993,0.00746551433839877,0.0216430911589943,-1.74035663087857,-1.27137144058421,0.676669287877512,-0.0373796059146959,-1.17120745499641,0.402369364036656,-1.85479540165223,-0.256662593869634,0.734304492762834,-0.762402466056836,-0.63241142618733,0.0899780538191684,0.867208880609025,-0.24711217664656,-0.156977372304012,0.892705507751639,0.0594779138134615,0.00925772583011596,0.0487361085270438,-1.29115732009623,1.80964444543411,1.53163304475084,0.940406545202739,2.26161819747118,1.50386774600401,438839.413540676
"235",-0.0137869858244396,-0.098159959108754,-1.80747712991178,-0.585455049749019,0.093191272389567,0.0429492103963636,0.151603349398955,-0.610828383388374,0.0974322367322438,-0.65216941618369,1.45259598619338,-0.0533154396820152,0.359378270531201,0.123746078325381,0.0842853273869136,-0.353706807546843,-1.76009132467865,0.643266640757681,0.150570036485603,-0.0320592450896261,0.224820491134697,0.00569508287687051,0.0185429421964475,-1.74030232467711,-1.27136349391781,0.676471467711924,-0.0374753874024792,-1.17115651501459,0.402627758754112,-1.85426360779332,-0.256615315248306,0.734378870511068,-0.762369802619195,-0.632421145416035,0.0900580848535236,0.867278558517106,-0.245218277760443,-0.156877122900116,0.892770721925197,0.0594785687735814,0.00926572476991474,0.0488432461985562,-1.29110190934244,1.80901909789628,1.53137859221693,0.94035091090494,2.24301146914558,1.49766867802781,439940.308286554
"236",-0.0138014116705466,-0.0981196445377928,-1.80746266523177,-0.585393336807585,0.0926532832474597,0.0431240094918471,0.151799443604647,-0.610571192998058,0.097442063878813,-0.652010630871098,1.45261878041978,-0.053078969824043,0.359315801599348,0.123729072267062,0.0842977337395498,-0.353706051575393,-1.76008469017089,0.643278887410766,0.150643676765367,-0.0320431119145372,0.224719114018794,0.00455984829022011,0.0180849836329214,-1.74029681194068,-1.27135226831839,0.676481213917024,-0.0374113581340044,-1.17113687484102,0.402680467628516,-1.85424515571769,-0.256601104825516,0.734367436637446,-0.762387356870717,-0.632415276162495,0.0900503550706765,0.867272564799075,-0.245187720745745,-0.156891094593865,0.89277927373487,0.0595194097173617,0.00930157252126115,0.0488845290015729,-1.29108161480706,1.80894119430933,1.53136390386339,0.940381112814251,2.24584792591125,1.49861533620581,440024.464320965
"237",-0.0137880224977203,-0.0976302177994125,-1.80747313707331,-0.585368050477851,0.0924832980212226,0.0429908297947927,0.151265539793401,-0.610034921355485,0.0974820264993706,-0.651772312764185,1.45265168508012,-0.0528702178852303,0.359226404943535,0.123736246281158,0.0843359032991045,-0.353674727505404,-1.76014324607366,0.643287742041641,0.150712622544773,-0.0322312566923446,0.224650870313137,0.0042955950040773,0.0174831786260573,-1.7403183937659,-1.27138819974019,0.676451360020375,-0.0374168470223922,-1.17111670600341,0.402692700793853,-1.8542545860342,-0.256604071413584,0.734404164906388,-0.762377701034053,-0.632418962446468,0.0900992863998324,0.86729167855142,-0.244886616759827,-0.156857165704844,0.892830810322036,0.0596316693897379,0.00926043400088476,0.0490710616879596,-1.29107874365916,1.80885854122259,1.53134749600963,0.940367069745644,2.24307999915858,1.49769155674945,440144.911108685
"238",-0.0137486670393876,-0.0976101738280106,-1.80740468943026,-0.585193560678884,0.0935336434581477,0.0431527759390481,0.151781862879243,-0.609058473076239,0.0974715878659843,-0.651222099676912,1.45270735908349,-0.0528173023873707,0.359041314317428,0.123790230283924,0.0843995033326468,-0.353625904133028,-1.76014021944927,0.643216393393797,0.150832112280356,-0.0318932443487542,0.223846194841771,0.00426657661116239,0.016671361791379,-1.74028891672042,-1.27139969971723,0.676375750827905,-0.0373985706320125,-1.17106971396615,0.402761967951801,-1.85416141578867,-0.256515435021196,0.734353279940031,-0.762427295505489,-0.632427932383459,0.0901308140637828,0.867293566652133,-0.244433869408007,-0.156849863521714,0.892905032379009,0.0593979227624983,0.00923903453066585,0.0488308879957483,-1.29104441371652,1.80867733299731,1.53127867935413,0.94044175576733,2.2404789336724,1.49682294666818,440428.776088602
"239",-0.0137535545312981,-0.0973060070961114,-1.80736647246939,-0.585050720406294,0.0934609605884276,0.0430515450413112,0.151088278243482,-0.608247064431688,0.0974786497419614,-0.650867813068214,1.45284727303866,-0.0532590894286996,0.358888297868921,0.123841499646894,0.0845061635715933,-0.35361461046962,-1.76016804238163,0.643199893732462,0.150927794910009,-0.0318647337118188,0.224387597459014,0.00403529193587924,0.0157753226634756,-1.7403153597507,-1.27142968056225,0.676435437104001,-0.0372658382268651,-1.17113689383066,0.402819290171104,-1.85399112666952,-0.25649209206491,0.734332816216275,-0.762426944019546,-0.632463571215525,0.090142430712752,0.867342222090046,-0.243731074136799,-0.156864637953234,0.892912873161186,0.0595301655036199,0.00913902351807314,0.0490162469327957,-1.29100027509369,1.80862783278233,1.53119603408718,0.94043560731861,2.24624052706144,1.498746318448,440674.916987531
"240",-0.0137625181294719,-0.0967883390290969,-1.80736866494517,-0.585024343311896,0.0934648765974977,0.0430709021024259,0.151793356086366,-0.60802326861095,0.0974900532621137,-0.650733878350366,1.45284939238444,-0.0533144311272122,0.358837632176844,0.123837585077078,0.084549242394499,-0.353611637195491,-1.76017481609838,0.643164817077956,0.150946294189322,-0.0318154756154279,0.224273407563872,0.0042451382914747,0.0157883884935176,-1.74031669907582,-1.27143826547732,0.676407890076891,-0.037256046208071,-1.17116186644679,0.402821469263889,-1.85398276180093,-0.256476837884606,0.73428530234137,-0.762426154729182,-0.632483225176067,0.0901510088257803,0.867337556685527,-0.243500835674808,-0.156874119073628,0.892903901114904,0.0594598917148906,0.00912068484830636,0.0489343823779439,-1.2909966770216,1.80854589900421,1.53115401854874,0.940437429114133,2.25478766278246,1.50159503954377,440746.119271911
"241",-0.01369359031332,-0.0995679423379492,-1.80720110732994,-0.584723321258698,0.093899406164337,0.044002452292943,0.152507207608615,-0.604671523449762,0.097471275541959,-0.649126297296001,1.45305956544409,-0.052886092666106,0.358237285239605,0.124120511173188,0.0849876583236395,-0.353571569080473,-1.76007043735705,0.643184860308631,0.151580704351787,-0.0307766171701456,0.223022876072748,0.00705590627108161,0.0143021615327256,-1.74025183256831,-1.2714135029864,0.67636024346407,-0.0372223485847177,-1.17112057958462,0.402961718632558,-1.8535089805622,-0.256416078857932,0.734086436861411,-0.762422022280171,-0.632305327483932,0.0901185230421517,0.867181718048638,-0.241958264520207,-0.156822719353761,0.89287972939862,0.059407574929765,0.00914567660441999,0.048859210676087,-1.2908756104683,1.80792555147043,1.5308657943479,0.940422819478366,2.26150073311033,1.5038286914108,441701.287647394
"242",-0.0137723517121299,-0.0992562384930751,-1.80713115478249,-0.584583217594276,0.093214693987243,0.0427344319277893,0.15238319550586,-0.603394687528296,0.0973862360827653,-0.648730217564709,1.45319950028845,-0.0528013797960268,0.35796390248669,0.12405953822231,0.0851273001488989,-0.353469660766527,-1.76003692776711,0.643125356417655,0.151688823362073,-0.0307613903004804,0.223568291659103,0.00895913930781223,0.0138951813319704,-1.74030557724798,-1.27140599761148,0.676223477494103,-0.0371147562063451,-1.171166132798,0.403090940219551,-1.85340778258022,-0.256348106018728,0.734002270611698,-0.762407734045118,-0.632288225204127,0.0900571103325402,0.867110508583606,-0.241179947810471,-0.156847162965398,0.892929806477833,0.0595195676804579,0.00912460517978902,0.0487032191543262,-1.29084257949824,1.80769022429804,1.53066580428144,0.940348208003165,2.25745549953723,1.50248311123195,442049.800487976
